Kabupaten/Kota,,,,,,,,,,,,,,,,
,Rata-rata Pengeluaran Perkapita Seminggu Menurut Kelompok Buah-Buahan Per Kabupaten/kota (Rupiah/Kapita/Minggu),,,,,,,,,,,,,,,
Padang Lawas Utara,5010.83,1109.44,82.84,430.02,50.55,334.56,123,1341.46,128.95,347.33,79.05,257.64,541.39,2.24,8.12,174.25
Padang Lawas,5683.53,1291.15,233.79,231.3,30.35,430.35,24.43,1289.07,136.33,492.18,259.87,320.01,303,232.33,36.38,372.99
Labuhan Batu Selatan,5638.77,1817.21,120.63,281.35,16.25,591.5,28.25,848.55,74.54,383.04,217.08,260.91,444.31,170.74,11.86,372.54
Labuhan Batu Utara,6433.78,1680.36,40.29,346.98,88.92,429.76,92.48,887.3,49.19,551.84,265.44,318.91,1066.22,144.38,47.67,424.03
Nias Utara,2335.84,280.52,10.07,126.99,22.37,2.21,2.38,42.12,306.49,804.76,533.64,105.03,43.26,13.51,16.35,26.15
Nias Barat,2171.9,207.78,-,104.8,-,-,-,20.1,117.39,1389.97,249.76,33.34,14.98,1.5,2.65,29.64
Kota Sibolga,7206.36,1327.86,47.81,472.88,3.29,248.11,10.16,407.65,271.74,1012.83,483.16,323.19,1593.86,275.04,17.07,711.71
Kota Tanjung Balai,7770.85,1319.42,195.59,606.02,13.01,546.27,129.96,714.77,67.36,1048.79,620.29,523.01,1151.15,226.48,28.28,580.47
Kota Pematang Siantar,11936.48,2686.91,357.59,1076.28,56.28,93.23,257.34,689.89,431.85,1665.54,1207.5,440.05,855.22,655,290.28,1173.53
Kota Tebing Tinggi,7832.01,2235.2,182.25,931.3,81.2,188.31,87.9,393.83,26.92,1581.03,751.71,280.16,43.36,294.28,58.11,696.46
Kota Medan,11052.07,2590.76,480.39,1146.57,48.93,654.9,71.93,662.43,132.47,1692.21,1293.4,480.42,133.58,709.7,213.87,740.53
Kota Binjai,7263.97,2467.36,166.14,610.88,23.12,515.57,33.61,332.96,36.51,1082.65,638.06,407.75,67.94,95.87,60.45,725.11
Kota Padangsidimpuan,6905.25,1158.33,64.93,682.01,22.99,419.64,13.51,729.78,128.52,926.66,591.35,267.63,774.33,562.15,54.93,508.5
Kota Gunungsitoli,2892.79,584.83,-,257.62,-,-,4.84,96.38,320.51,753.71,365.54,168.75,70.14,80.56,1.52,188.39
Kepulauan Mentawai,5353.65,874.02,78.09,289.75,55.14,-,-,278.15,504.02,2165.8,541.25,75.65,98.23,27.81,48.2,317.53
Pesisir Selatan,5025.19,1313.41,114.98,308.07,5.74,-,-,792.86,237.42,462.02,407.07,290.03,301.51,314.04,38.88,439.15
Solok,5214.32,1549.14,8.73,212.92,-,-,-,666.38,144.29,967.92,666.78,298.65,109.71,146,64.46,379.33
Sijunjung,6449.96,1877.19,109.15,239.28,13.66,20.59,-,1055.9,471.26,645.76,515.48,242.88,25.6,369.26,56.88,807.08
Tanah Datar,6319.09,2008.54,93.12,667.44,2.49,3.01,7.63,663,600.04,570.04,438.02,154.52,134.57,411.11,38.47,527.09
Padang Pariaman,4697.63,1346.98,28.5,550.7,-,5.01,8.98,415.44,352.5,499.4,440.24,251.51,251.41,170,67.54,309.42
Agam,5553.99,2045.28,45.18,272.49,2.59,-,4.05,578.2,543.98,682.29,429.45,270.92,41.04,222.6,66.46,349.45
Lima Puluh Kota,5713.53,1908.1,44.16,224.86,0.18,28.78,-,610.07,658.34,631.7,660.8,249.36,27.34,377.24,76.99,215.63
Pasaman,4010.97,1157.34,12.49,115.45,15.78,28.88,11.08,759.63,210.53,511.16,564.03,234.82,6.32,116.37,62.65,204.45
Solok Selatan,5371.14,1638.72,68.23,311.51,31.96,11.68,6.11,1076.84,241.58,510.77,325,453.03,67.96,382.97,28.45,216.32
Dharmasraya,6239.9,1706.82,171.07,586.99,-,-,6.52,734.04,341.9,712.69,623.18,335.65,21.67,283.16,53.33,662.87
Pasaman Barat,4984.78,821.84,177.91,400.21,0.17,124.1,8.01,1000.51,273.89,474.04,605.03,380.07,40.05,282.39,56.93,339.62
Kota Padang,7831,1991.19,288.72,490.41,7.67,-,20.28,411.12,500.73,1264.6,933.34,475.67,33.62,617.4,66.87,729.38
Kota Solok,9890.89,3065.76,202.68,657.12,1.58,-,-,512.28,712.69,967.98,1439.24,457.04,68.08,797.03,41.62,967.79
Kota Sawah Lunto,6859.97,2161.6,38.67,446.92,-,-,-,634.64,865.99,416.28,648.3,351.78,21.98,382.95,59.86,830.99
Kota Padang Panjang,7535.23,2505.95,107.23,425.91,-,-,-,747.27,671.19,697.19,701.17,334.67,126.18,347.65,90.38,780.44
Kota Bukittinggi,8638.01,2763.67,141.93,542.45,-,68.06,-,773.19,501.15,1014.98,723.98,519.36,43.49,443.19,78.92,1023.66
Kota Payakumbuh,8083.31,2457.03,72.61,650.88,-,35.01,-,539.26,1198.85,411.18,854.64,364.63,43.75,661.49,43.73,750.24
Kota Pariaman,6838.57,2105.17,119.46,561.99,-,1.89,6.1,492.6,515.18,921.2,535.32,241.97,60.17,369.35,96.29,811.88
Kuantan Singingi,6451.75,2485.52,333.79,209.57,19.22,-,-,1324.75,82.23,461.93,448.85,439.56,8.7,118.71,68.62,450.31
Indragiri Hulu,7435.1,2305.62,105.11,493.19,32.84,42.46,53.6,966.61,110.6,1052.81,359.35,698.75,65.51,223.04,33.97,891.64
Indragiri Hilir,5295.81,1608.54,223.34,177.22,43.76,9.39,4.63,688.91,66.65,948.81,239.03,641.91,20.22,75.15,28.17,520.07
Pelalawan,7120.79,2039.77,270.01,263.76,59.83,137.77,-,1390.45,147.7,720.54,316.51,601.37,416.52,269.87,30.07,456.62
Siak,8119.81,2567.51,186.14,410.48,30.48,106.72,53.64,1234.45,146.51,759.38,522.02,905.55,113.2,233.43,62.78,787.53
Kampar,6965.25,2140.59,145.26,556.75,38.34,135.31,-,1275.82,244.92,586.86,528.46,577.84,35.02,197.9,52.99,449.18
Rokan Hulu,7114.8,1849.6,179.65,584.77,20.08,445.16,31.66,1319.64,136.81,683.87,337.47,750.36,67.99,148.99,33.75,525
Bengkalis,7987.02,2532.85,283.77,805.92,5.12,66.51,60.59,1030.68,80.78,896.37,746.89,660.34,42.07,245.46,43.72,485.96
Rokan Hilir,5909.76,1969.85,66.18,366.45,77.2,450.93,13.23,888.18,78.42,540.65,266.12,329.76,196.46,135.13,48.18,483.01
Kepulauan Meranti,5059.59,1630.41,99.3,443.73,-,25,-,380.62,63.66,1188.75,217.62,408.82,23.73,63.47,31.95,482.53
Kota Pekanbaru,9440.08,2467.59,436.6,917.06,-,29.01,-,540.63,227.29,1220.7,1003.26,644.94,222.74,412.3,250.36,1067.6
Kota Dumai,8346.62,2284.29,321.43,473.8,-,442.67,-,760.62,241.78,1025.41,547.55,485.18,868,235.29,53.94,606.67
Kerinci,8561.54,2472.35,88.77,1176.28,9.05,4.9,-,986.5,229.06,792.83,625.31,358.1,571.61,703.61,41.42,501.75
Merangin,5132.42,1337.46,180.55,423.55,18.76,7.35,19.22,625.76,276.1,613.45,304.43,471.99,213.94,201.54,10.2,428.12
Sarolangun,5719.34,1372.23,127.02,431.11,52.33,8.24,16.66,659.65,345.18,763.6,262.58,834.98,101.17,147.54,11.04,586.01
Batang Hari,7177.31,2188.43,119.53,363.27,207.19,40.17,108.06,504.1,343.4,1125.88,385.21,865.72,195.06,121.04,25.22,585.02
Muaro Jambi,8186.23,2424.68,161.15,680.78,300.69,157.79,181.1,788.81,354.88,942.46,593,555.31,183.8,177.19,67.67,616.88
Tanjung Jabung Timur,8154.21,2832.37,406.58,498.56,129.56,189.81,40.16,577.36,337.6,1001.37,289.28,1171.54,82.27,229.22,43.08,325.45
Tanjung Jabung Barat,5637.83,1898.06,82.93,536.92,52.38,47.15,15.8,440.52,56.56,862.85,287.18,802.04,137.27,-,19.88,398.28
Tebo,5660.72,1582.65,92.44,261.76,32.24,3.4,5.31,755.23,175.03,846.12,388.05,640.34,287.59,98.56,48.42,443.59
Bungo,7700.33,2072.8,195.65,418.8,40.55,37.02,15.48,856.12,469.4,947.73,473.33,594.77,267.1,350.52,73.49,887.58
Kota Jambi,9966.54,2585.74,248.2,857.98,160.17,8.64,397.97,532.33,806.7,837.76,1181.48,578.01,448.81,580.46,25.8,716.49
Kota Sungai Penuh,6769.98,1933.63,105.89,319.7,3.04,-,112.17,179.98,134.05,1313.02,657.95,274.76,590.25,732.65,29.81,383.09
Ogan Komering Ulu,5872.46,879.72,80.21,228.71,71.73,479.32,946.33,437.37,339.73,941.91,440.37,336.27,35.57,285.09,95.32,274.8
Ogan Komering Ilir,6866.01,1596.77,400.84,382.12,199.41,137.56,122.72,516.04,392.51,1077.83,547.58,575.1,41.93,239.05,74.37,562.18
Muara Enim,4674.91,1319.64,152.83,190.91,129.28,9.83,146.83,357.59,314.45,685.35,281.38,407.15,81.12,329.3,18.88,250.38
Lahat,6708.79,1619.2,210.67,298.74,72.72,18.17,12.34,670.61,623.96,1015.32,537.75,593.69,8.75,399.71,65.61,561.54
Musi Rawas,5884.62,1391.76,101.94,275.77,64.74,122.24,617.23,363.67,345.22,719.26,455.42,616.78,26.12,457.78,51.12,275.58
Musi Banyuasin,6725.41,1660.94,214.81,444.7,455.31,236.84,226.36,517.03,322.57,786.27,320.53,895.85,29.25,147.35,39.42,428.17
Banyu Asin,6854.12,1761.73,238.87,282.34,463.2,56.23,7.82,771.32,270.75,936.37,580.08,902.73,38.75,238.21,53.18,252.57
Ogan Komering Ulu Selatan,4932.03,815.99,25.69,236.25,50.58,203.59,1130.31,395.12,281.32,615.25,424.03,260.62,51.95,243.08,42.14,156.12
Ogan Komering Ulu Timur,4323.61,715.72,135.63,219.2,77.81,74.21,342.88,497.12,233.69,696.12,379.78,233.89,51.54,167.59,93.71,404.7
Ogan Ilir,4338.93,1000.77,103.7,98.06,97.77,9.32,10.88,359.2,125.94,1051.76,528.04,388.73,71.13,184.03,18.55,291.06
Empat Lawang,4964.73,980.23,88.51,145.29,165.5,14.44,16.73,757.06,271.74,773.83,546.53,494.46,226.29,185.76,41.06,257.32
Penukal Abab Lematang Ilir,4805.55,1146.55,103.84,315.17,313.61,35.67,159.44,611.73,179.76,690.22,319.28,418.42,138.15,153.51,27.15,193.04
Musi Rawas Utara,5674.12,1188.44,181.92,221.27,248.63,81.91,47.54,610.97,282.24,658.35,348.79,890.44,24.14,417.52,17.32,454.62
Kota Palembang,7681.77,1851.9,242.44,555.74,77.08,23.88,60.31,347.1,576.1,939.72,1073.42,694.31,51.05,404.1,77.2,707.39
Kota Prabumulih,5922.89,1166.35,307.89,222.38,103.12,58.91,112.69,359.21,515.32,857.15,645.26,493.95,57.76,533.22,30.41,459.26
Kota Pagar Alam,4135.99,1332.22,42.64,146.6,57.98,-,27.2,515.59,454.89,383.75,290.45,344.95,5.65,205.85,34.3,293.93
Kota Lubuklinggau,6731.65,1295.94,159.21,459.94,13.52,14.98,25.42,454.28,866.24,613.54,612.33,506.56,17.85,976.64,84.06,631.13
Bengkulu Selatan,4392.24,858.78,21.14,241.08,101.64,-,-,432.78,191.55,680.12,392.8,532.95,55.28,204.47,57.53,622.12
Rejang Lebong,6506.75,1570.79,202.47,407.68,187.29,16.74,83.48,551.37,853.22,523.14,496.65,569.34,200.61,460.79,73.01,310.17
Bengkulu Utara,6637.22,1869.53,52.37,489.99,193.19,12.78,10.47,518.65,606.55,633.72,489.23,592.91,110.27,245.85,52.16,759.54
Kaur,4375.31,878.92,16.53,363.47,140.19,3.15,12.62,468.73,385.47,724.01,392.78,406.68,41.89,124.77,61,355.11
Seluma,5552.37,1261.13,71.33,235.17,215.66,60.31,-,972.44,317.82,676.28,323.62,590.21,259.71,208.9,92.55,267.26
Mukomuko,7094.5,1810.82,120.38,837.29,18.71,41.93,-,811.32,236.44,866.83,250.7,639.11,57.31,199.96,64.67,1139.02
Lebong,5612.78,943.29,47.75,412.63,181.77,12.2,-,428.03,837.79,227.67,345.6,552.5,472.01,344.94,82.34,724.26
Kepahiang,5394.17,1087.22,115.85,119.96,457.17,20.96,3.81,546.13,697.09,685.21,528.43,332.49,71.22,265.65,179.08,283.91
Bengkulu Tengah,5808,1244.15,116.63,289.01,346.82,34.89,-,611.24,694.56,375.46,437.92,662.07,236.46,104.5,94.15,560.15
Kota Bengkulu,8022.09,2040.82,132.34,750.9,273.61,6.26,20.43,485.44,1208.91,313.77,532.71,612.54,212.87,505.08,67.97,858.44
Lampung Barat,4933.77,795.01,110.94,152.27,195.26,53.3,82.99,568.11,547.36,831.06,242.17,107.35,59.18,549.5,105.26,534.02
Tanggamus,4137.89,812.28,86.12,173.33,91.28,41.95,117.62,457.28,228.36,823.11,300.76,329.8,44.37,376.46,116.35,138.81
Lampung Selatan,6813.94,1443.87,157.5,307.02,298.92,52.31,148.24,714.97,423.64,1196.75,559.1,504.12,175.03,264.79,103.76,463.92
Lampung Timur,5557.57,1333.12,71.04,360.69,284.1,318.9,226.79,516.79,308.87,642.62,506.76,219.7,84.84,233.61,54.08,395.66
Lampung Tengah,6059.52,1608.19,107.79,433.65,204.22,33.09,233.1,688.49,254.76,965.56,353.82,185.33,58.83,306.96,75.27,550.46
Lampung Utara,5270.1,1053.61,50.96,319.73,250.88,194.75,608.95,520.94,198.76,883.58,391.6,194.79,27.99,240.61,93.83,239.14
Way Kanan,9108.78,887.99,123.8,371.51,794.43,1046.93,2600.55,481.37,105.72,1183.36,381.63,202.1,45.25,328.4,82.76,473
Tulangbawang,4689.73,1089.79,97.66,321.18,105.25,190.12,95.43,523.35,276.87,748.17,243.15,205.92,48.21,153.84,136.54,454.25
Pesawaran,5764.75,1389.9,82.98,259.44,39.1,7.64,56.86,729.72,407.67,1216.13,510.16,124.75,127.46,338.41,48.1,426.43
Pringsewu,6380.7,1405.31,147.96,172.69,197.06,57.26,837.59,588.13,216.75,896.79,445.28,179.36,20.38,444.93,89.41,681.81
Mesuji,4887.73,1373.95,186.05,293.07,310.04,42.81,84.54,344.72,202.94,949.55,262.55,185.55,1.18,81.53,143.25,426
Tulang Bawang Barat,4276.44,960.47,49.37,146.08,62.45,34.39,16.71,422.25,190.5,832.67,208.66,383.2,67.97,360.76,47.04,493.92
Pesisir Barat,4393.41,1205.42,40.96,194.57,14.03,47.24,-,496.61,299.93,708.43,445.41,189.24,69.58,349.15,39.76,293.08
Kota Bandar Lampung,8616.2,2178.28,309.21,845.22,113.14,12.95,43.09,509.99,767.41,865.12,619.07,453.93,67.22,626.52,166.61,1038.45
Kota Metro,7998.82,2043.57,223.73,549.75,12.62,12.05,237.12,536.4,574.34,800.99,879.44,222.88,145.73,756.17,121.36,882.68
Bangka,11271.56,4127.84,104.29,691.96,478.18,51.57,19.9,257.23,1013.15,1030.31,732.93,1026.42,9.61,584.07,74.24,1069.85
Belitung,8329.71,2492.59,534.91,726.38,46.38,-,-,381.93,355.1,1130.22,594.81,748.22,22.36,152.45,112.41,1031.95
Bangka Barat,9394.93,3279.64,94.09,519.78,430.92,78.65,-,260.46,735.26,738.59,586.36,1067.17,44.89,594.66,176.72,787.74
Bangka Tengah,10047.24,3305.77,366.39,577.08,667.68,293.47,8.48,397.44,645.01,852.21,454.61,686.86,115.14,543.55,57.48,1076.06
Bangka Selatan,7398.82,2614.77,194.27,453.59,540.02,272.44,1.53,485.41,524.65,316.09,391.54,615.49,4.62,215.11,120.9,648.41
Belitung Timur,8523.18,3118.07,208.07,619.35,199.66,9.12,181.04,376.95,309.22,1216.16,333.05,665.2,19.72,139.78,33.65,1094.15
Kota Pangkal Pinang,11995.9,4021.93,411.19,1121.35,132.02,168.41,-,417.15,1265.35,777.68,822.36,802.16,76.9,705.02,82.38,1191.98
Karimun,6714.72,1709.59,548.15,307.74,-,-,7.62,685.39,355.42,1072.18,694.09,558.36,26.7,292.91,37.55,419.02
Bintan,5144.92,1248.52,356.68,467.66,18.39,8.33,-,137.58,225.19,1119.77,705.49,312.96,61.86,164.15,8.03,310.31
Natuna,6106.24,1229.85,510.07,779.79,28.19,-,16.74,285.04,322.84,1192.24,331.33,283.72,6.23,18.01,62.62,1039.58
Lingga,6383.42,2284.23,640.84,303.5,-,24.47,13.34,380.69,249.63,900.81,323.62,560.84,14.64,112.79,34.89,539.15
Kepulauan Anambas,5215.61,1135.32,385.36,825.26,35.39,-,-,148.1,365.17,875.63,440.18,83.1,10.04,188.17,63.32,660.58
Kota Batam,10624.15,2161.13,1362.33,1019.32,30.7,25.89,124.36,420.96,284.96,1703.43,744.98,985.81,202.1,384.55,65.43,1108.19
Kota Tanjung Pinang,9335.34,2391.78,892.98,1010.24,-,66.72,36.03,179.79,565.38,1229.84,905.76,527.07,48.56,492.16,38,951.03
Kep. Seribu,9269.68,2744.66,652.25,477.66,427.69,54.09,44.76,495.25,1717.15,195.51,732.93,357.05,62.75,753.39,222.89,331.66
Kota Jakarta Selatan,12097.78,2887.65,301.78,1176.96,132.76,12.57,311.74,413.85,1753.08,564.65,1543.95,557.8,162.22,682.57,158.36,1437.85
Kota Jakarta Timur,12314.59,2997.67,292.07,971.86,211,27.63,294.88,612.08,1743.23,629.35,1576.46,762.12,111.03,526.05,260.23,1298.94
Kota Jakarta Pusat,9714.08,2356.85,649.84,656.96,219.66,26.34,41.86,328.94,1677.83,407.27,1407.02,636.14,108.06,744.06,93.39,359.86
Kota Jakarta Barat,12409.24,2830.47,390.01,1187.35,251.52,40.56,424.77,325.53,1437.56,625.51,1322.87,576.07,130.37,1061.06,228.11,1577.47
Kota Jakarta Utara,12473.88,2622.13,471.87,1316.73,225.42,73.97,276.64,395.25,1655.74,822.77,1480.74,765.61,70.59,966.52,218.15,1111.75
Bogor,6417.83,1767.93,128.07,317.8,445.63,8.12,104.51,501.42,778.21,490.22,505.14,339.71,42.02,349.06,103.3,536.69
Sukabumi,8257.29,2101.31,297.74,514.45,1336.49,111.82,151.13,465.98,888.47,651.38,567.64,368.67,44.58,373.75,122.28,261.59
Cianjur,5697.97,1251.46,103.94,271.53,920.1,40.21,413.04,274.63,551.53,605.15,421.46,192.89,24.21,127.55,135.76,364.5
Bandung,6120.05,1444.88,105.1,440.03,1226.46,34.29,33.6,333.92,826.24,210.36,512.63,295.87,35.28,191.04,82.22,348.14
Garut,5279.32,1173.29,72.22,306.17,1165.59,11.62,105.92,230.09,409.08,539.97,261.04,170.64,81.22,283.61,104.93,363.93
Tasikmalaya,4985.72,1432.48,132.89,424.72,500.29,4.67,289.11,240.07,223.45,641.67,318.36,274.73,13.54,158.03,57.25,274.47
Ciamis,7067.85,1814.69,120.75,575.42,671.93,8.53,283.03,441.62,434.03,661.88,669.49,262.37,64.27,426.9,121.18,511.77
Kuningan,6644.12,1544.81,58.69,427.53,550.2,47.06,452.18,281.33,777.31,845.08,713.55,107.76,5.87,293.49,69.37,469.87
Cirebon,6202.79,1572.6,76.78,307.82,553.72,78.42,279.34,401.85,819.21,576,526.97,278.71,13.59,183.25,72.62,461.9
Majalengka,6352.91,1551.63,59.44,254.8,1224.26,23.5,351.96,277.61,552.93,458.9,460.04,243.84,13.24,167.26,161.92,551.58
Sumedang,7714.44,1832.31,53.05,349.34,1262.13,32.99,172.09,349.38,751.63,719.89,571.99,264.58,54.5,404.36,134.18,762.04
Indramayu,9202.6,2130.31,323.23,542.67,1770.33,145.25,246.31,832.57,655.17,722.19,616.36,382.65,4.7,109.06,159.74,562.05
Subang,7691.83,1789.89,168.12,659.32,1311.96,66.29,668,488.65,717.99,337.31,447.79,463.86,26.17,116.9,69.31,360.27
Purwakarta,8211.29,2043.4,83.92,582.72,1334.37,43.55,182.02,347.95,563.41,756.8,491.49,533.55,55.83,331.09,113.45,747.76
Karawang,6808.62,1819.53,297.6,416.22,1098.25,49.35,210.07,384.7,367.7,665.56,557.9,342.67,22.68,96.94,151.5,327.94
Bekasi,8760.28,2179.11,279.13,587.91,433.49,59.75,234.5,643.75,1053.06,663.66,826.53,490.11,66.23,299.23,174.2,769.61
Bandung Barat,6946.32,1669.07,114.39,363.66,1334.24,2.1,442.2,267.43,786.34,313.08,479.56,282.06,33.7,305.18,110.34,442.98
Pangandaran,7696.84,1800.08,244.01,623.59,389.03,19.69,93.9,410.56,412.57,1121.32,544.06,368.94,42.39,835.46,208.57,582.66
Kota Bogor,9762.54,2137.58,153.47,1030.02,398.66,75.39,141.64,396.49,1526.39,399.69,962.11,353.09,107,933.33,200.23,947.44
Kota Sukabumi,10470.56,2621.9,209.28,728.15,820.83,38.59,1007.43,289.78,1046.39,463.1,705.24,542.13,27.25,480.79,232.41,1257.3
Kota Bandung,11987.01,2531.13,189.61,877.94,888.19,76.45,256.27,397.55,1814.08,292.62,1192.58,673.53,124.6,985.15,174.57,1512.72
Kota Cirebon,8046.63,1917.91,53.66,588.05,453.29,21.58,228.77,363.48,1676.23,489.12,892.19,506.11,53.98,239.16,46.12,517.01
Kota Bekasi,13211.34,3407.78,263.21,967.73,222.84,11.14,526.78,626.36,1735.3,939.6,1410.34,736.5,71.48,992.47,204.72,1095.08
