Kabupaten/Kota,,,,,,,,,,,,,,,,
,Rata-rata Pengeluaran Perkapita Seminggu Menurut Kelompok Buah-Buahan Per Kabupaten/kota (Rupiah/Kapita/Minggu),,,,,,,,,,,,,,,
,BUAH-BUAHAN,"Jeruk, jeruk bali",Mangga,Apel,Rambutan,"Duku, langsat",Durian,Salak,Pisang ambon,Pisang lainnya,Pepaya,Semangka,Tomat buah,Alpokat,Jambu biji,Buah-buahan lainnya
,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
Simeulue,5287.59,1501.23,88.02,351.16,26.03,118.96,-,699.85,19.36,898.8,396.75,263.62,388.53,126.78,38.27,370.22
Aceh Singkil,7377.18,1817.24,173.25,512.97,57.77,862.41,52.63,1098.24,151.88,571.33,273.94,1061.05,8.49,128.52,25.65,581.79
Aceh Selatan,4589.2,1100.93,111.65,194.22,35.96,389.54,3.86,773.16,117.64,149.34,195.93,201.34,1027.09,149.77,4.42,134.34
Aceh Tenggara,5381.6,875.42,104.96,264.9,126.43,280.8,275.9,909.91,198.38,434.09,334.67,387.31,647.26,189.86,54.65,297.05
Aceh Timur,5630.94,1670.13,240.13,142.95,114.39,611.63,286.54,1097.17,68.22,248.52,298.8,461.39,30.12,76.56,46.96,237.42
Aceh Tengah,10500.46,1627.65,301.95,592.89,230.08,811.63,2906.11,1052.05,182.57,412.44,278.94,405.8,438.34,272.08,132.26,855.7
Aceh Barat,9451.44,2530.97,249.59,422.9,46.34,1415.92,78.03,1179.58,57.58,599.34,472.98,392.06,1153.19,171.49,44.46,637.02
Aceh Besar,5480.57,1691,124.52,357.21,28.35,59.84,152.9,973.98,165.06,563.46,418.31,285.37,11.78,160.45,27.45,460.9
Pidie,5716.1,1893.29,203.81,254.67,19.13,304.9,306.75,1320.74,94.79,353.79,375.12,155.57,2.21,131.65,40.07,259.62
Bireuen,7543.48,2057.89,308.78,417.52,34.8,231.46,376.67,1159.03,28.92,663.76,433.89,253.38,612.91,317.47,62.27,584.75
Aceh Utara,6295.52,1952.74,294.64,303.9,68.98,483.28,266.24,1192.3,19.44,211.14,265.82,457.84,357.15,134.39,42.98,244.7
Aceh Barat Daya,5656.33,1396.45,84.19,156.24,40.87,589.39,54.88,837.66,43.63,264.1,184.76,115.63,1495.91,134.96,4.34,253.34
Gayo Lues,8835.76,1355.19,294.8,373.09,253.3,1010.52,1555.36,1214.54,189.79,817.18,535.6,412.98,96.33,341.91,150.45,234.72
Aceh Tamiang,5965.12,1691.23,107.75,557.35,3.17,824.81,78.33,837.6,44.69,438.04,156.5,185.84,595.83,90.64,64.43,288.93
Nagan Raya,17231.33,3576.03,762.22,1098.47,354.3,2490.68,359.07,2064.69,162.86,1080.83,921.11,1197.33,1432.83,439.91,208.42,1082.58
Aceh Jaya,7321.97,1508.93,127.1,274.28,30.44,375.89,-,1211.87,71.61,758.83,386.31,461.8,1397.19,130.6,32.62,554.5
Bener Meriah,16050.01,2297.88,717.13,650.92,214.74,1127.57,5202.68,1419.31,423.85,470.08,374.19,416.66,1589.82,427.44,207.59,510.14
Pidie Jaya,6308.57,2207.43,39.85,348.51,45.67,382.4,98.41,1508.21,104.14,285.63,310.6,195.39,11.71,386,60.2,324.42
Kota Banda Aceh,10298.43,2742.29,386.05,679.98,16.39,101.37,230.02,948.26,4.75,1290.37,493.14,874.69,751.86,290.29,194.36,1294.62
Kota Sabang,9966.15,2523.75,781.94,1122.56,-,128.58,-,959.01,23.21,1390.9,1030.56,288.64,52.1,213.36,49.76,1401.77
Kota Langsa,8090.42,2250.55,395.15,618.41,50.51,723.15,470.39,682.97,40.36,549.92,215.38,427.7,516.51,211.53,65.45,872.45
Kota Lhokseumawe,7474.15,1777.71,343.79,786.59,-,330.94,266.02,1072.34,15.43,575.63,408.56,388.83,570.22,245.25,102.21,590.62
Kota Subulussalam,7786.62,1903.82,21.21,434.64,22.45,1238.85,141.82,842.95,134.26,527.11,250.73,430.92,851.8,128.55,80.66,776.86
Nias,3446.42,233.17,-,158.62,-,22.02,-,119.77,404.33,1998.53,223.94,145.11,54.33,51.6,3.51,31.48
Mandailing Natal,4462.03,919.64,181.85,291.73,42.89,369.2,19.04,1027.36,172.81,447.93,400.23,180.48,8.38,146.52,34.59,219.38
Tapanuli Selatan,5222.05,1272.27,13.02,310.1,37.29,310.64,19.86,1161.6,147.17,582.11,475.08,201.29,287.47,59.4,29.65,315.11
Tapanuli Tengah,4984.65,1040.81,53.37,216.6,-,231.51,-,679.09,192.04,762.68,232.92,95.34,946.49,83.63,11.13,439.03
Tapanuli Utara,8824.73,2191.75,88.83,658.21,44.53,158.3,217.69,851.44,349.58,1247.67,390.67,60.05,1515.81,216.31,121.92,711.98
Toba Samosir,11973.75,2897.33,77.63,819.92,36.32,265.03,1074.88,1107.72,160.74,1923.48,526.28,110.98,1874.12,309.32,151.99,638.02
Labuhan Batu,5750.68,1654.01,205.74,293.99,23.74,401.74,86.37,848.01,80.14,642.71,192.19,492.69,279.4,161.8,29.09,359.09
Asahan,6653.17,2133.32,61,423.23,9.92,340.77,100.34,586.3,16.03,885.78,380.1,452.6,539.21,156.53,30.68,537.38
Simalungun,8632.41,1924.44,77.14,366.72,86.51,128.07,1475.65,470.73,123.33,1215.47,499.84,211.51,1065.1,192.04,69.52,726.35
Dairi,7204.92,1275.36,92.54,374.47,96.94,874.62,633.92,432.88,352.88,1307.65,520.65,131.95,266.13,211.37,110.36,523.19
Karo,9156.44,1747.8,373.45,941.42,119.17,1070.15,680.74,947.96,317.27,957.44,374.93,231.97,151.5,219.27,81.64,941.75
Deli Serdang,7259.24,2088.63,180.4,485.1,28.61,551.87,232.9,508.34,72.48,1205.76,672.66,390.33,80.44,146.04,54.39,561.27
Langkat,6546.19,1829.71,188.58,466.03,16.54,811.16,230.48,658.79,87.21,679.41,356.67,368.15,22.29,209.85,83.97,537.35
Nias Selatan,1980.7,99.38,-,-,-,-,-,38.61,335.51,869.05,480.84,39.78,22.09,51.83,26.74,16.88
Humbang Hasundutan,7066.99,1752.38,14.63,455.59,56.21,163.78,10.81,704.8,200.64,1573.53,232.63,104.17,1258.4,105.04,27.84,406.52
Pakpak Bharat,7556.1,803.56,14.39,479.23,17.87,674.89,140.84,889.9,256.25,1324.65,221.55,96.67,1432.12,322.68,106.36,775.14
Samosir,10616.36,1779.69,77.29,506.73,88.73,132.9,3417.12,468.96,519.61,1850.78,525.32,63.64,263.04,280.04,141.56,500.95
Serdang Bedagai,6297.94,2034.97,72.17,446.24,16.98,330.3,74.11,492.91,27.91,635.3,213.24,365.01,687.22,100.92,44.49,756.19
Batu Bara,6094.6,1950.04,65.34,409.55,19.77,335.76,122.42,509.85,14.27,568.44,158.52,133.51,902.07,200.12,80.07,624.88
