Kabupaten/Kota,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rata-rata Pengeluaran Perkapita Seminggu Menurut Kelompok Sayur-Sayuran Per Kabupaten/kota (Rupiah/Kapita/Minggu),,,,,,,,,,,,,,,,,,,,,,,,,,
,SAYUR-SAYURAN,Bayam,Kangkung,Kol/kubis,Sawi putih (petsai),Sawi hijau,Buncis,Kacang panjang,"Tomat sayur, tomat ceri",Wortel,Mentimun,Daun ketela pohon/daun singkong,Terong,Tauge,"Labu, labu siam, labu parang",Bahan sayur sop/cap cay/ kimlo (paket),Bahan sayur asam/lodeh (paket),Nangka muda,Pepaya muda,Jengkol,Bawang putih,Bawang merah,Bawang bombay,Cabe merah,Cabe hijau,Cabe rawit,Sayur-sayuran lainnya
Serdang Bedagai,15435,533,631,252,306,362,115,359,443,325,115,399,615,119,62,27,11,61,145,44,2260,1169,14,4019,729,2167,151
Batu Bara,15524,542,624,224,317,210,163,214,207,268,121,433,516,125,89,84,5,166,160,41,2214,1279,31,4349,1207,1802,133
Padang Lawas Utara,14907,547,702,501,107,144,289,311,1025,203,250,689,927,202,137,21,3,20,94,238,2262,793,25,4305,219,754,139
Padang Lawas,16544,642,651,483,297,209,164,649,748,252,300,630,855,131,226,6,6,23,14,344,2318,580,-,5387,173,1056,399
Labuhan Batu Selatan,17317,652,720,498,265,212,309,484,894,279,208,569,835,188,77,26,4,211,176,92,2516,1276,15,4103,490,2111,109
Labuhan Batu Utara,16161,680,591,415,233,231,209,337,581,297,131,527,584,172,104,34,6,168,158,88,2510,1358,29,3805,815,1980,118
Nias Utara,10324,223,633,201,161,28,40,276,71,127,91,803,769,33,79,-,-,64,124,-,1799,714,5,1368,247,2314,155
Nias Barat,7832,132,540,167,55,5,29,108,31,89,40,1033,465,24,2,-,-,46,108,5,1655,568,20,1786,169,597,157
Kota Sibolga,13030,588,657,141,348,435,165,100,77,345,252,279,264,109,82,117,13,-,-,24,1925,749,27,5785,99,210,239
Kota Tanjung Balai,14499,573,502,309,284,250,268,214,324,342,214,405,636,215,260,44,9,100,36,128,1975,818,79,4979,709,560,268
Kota Pematang Siantar,14584,725,670,240,469,382,202,205,328,495,262,363,278,178,238,112,12,43,8,33,2301,1354,101,4005,562,823,196
