Kabupaten/Kota,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rata-rata Pengeluaran Perkapita Seminggu Menurut Kelompok Sayur-Sayuran Per Kabupaten/kota (Rupiah/Kapita/Minggu),,,,,,,,,,,,,,,,,,,,,,,,,,
Pidie,11232.32,613.18,519.99,172.29,15.56,99.14,56.24,361.84,1118.93,200.62,175.07,109.8,163.87,281.82,114.55,198.6,332.37,58.89,71.63,20.55,1708.48,639.55,334.63,2234.77,634.87,837.07,158.02
Bireuen,11664.85,580.49,519.68,191.73,43.49,131.19,80.54,344.27,361.44,256.73,228.84,181.15,229.59,267.1,94.78,359.18,413.25,68.12,110.03,28.84,2345.61,663.2,92.23,2421.45,616.11,821.29,214.5
Aceh Utara,11331.52,651.51,567.1,193.89,41.94,116.08,76.56,370.94,378.61,273.17,204.28,231.17,246.47,270.88,87.48,180.03,365.66,115.86,111.97,230.58,1854.39,809.03,103.94,1965.45,713.26,1058.26,113
Aceh Barat Daya,10853.58,446.76,486.59,102.84,30.43,205.67,57.01,326.87,49.04,222.25,180.05,158.96,502.02,170.45,100.47,10.84,15.17,53.93,16.83,100.34,1776.03,463.28,33.23,3118.41,121.87,1739.94,364.3
Gayo Lues,13715.67,495.96,430.57,344.94,69.5,284.28,279.11,515.11,1478.43,254.24,177.65,245.44,597.6,180.74,289.22,10.09,2.73,361.24,56.76,258.7,2321.87,660.32,47.79,2835.78,275.76,1026.34,215.51
Aceh Tamiang,12303.76,552.24,612.22,232.06,164.47,191.2,196.33,501.43,138.14,292.53,222.63,359.29,351.2,149.57,90.93,98.74,188.54,18.38,40.85,91.53,2104.11,840.91,82.69,2363.27,782.01,1483.84,154.66
Nagan Raya,23151.61,1166.55,1104.37,408.79,114.71,719.1,225.16,834.45,719.86,698.58,695.12,497.79,1005.24,550.01,292.67,86.42,76.23,171.97,153.39,859.84,3581.85,1289.78,155.24,3378.34,547.1,3367.46,451.56
Aceh Jaya,12943.68,710.59,627.32,208.88,32.31,167.87,65.08,532.43,109.64,302.75,369.93,374.66,590.2,155.73,260.67,27.52,20.04,80.66,65.6,141.29,2430.31,661.19,22.65,2498.65,360.93,1641.97,484.78
Bener Meriah,18770.16,672.24,830.16,485.12,146.92,246.59,545.38,494.96,136.06,305.11,284.61,384.67,731.61,358.96,1184.31,42.91,114.76,16.82,31.17,29.52,2729.55,1104.81,171.63,3547.64,1001.21,2302.23,871.2
Pidie Jaya,12756.97,775.78,579.45,236.94,37.53,246.22,68.1,442.64,1244.73,291.83,297.41,74.62,226.7,302.45,109.42,194.28,219.8,23.01,55.35,28.09,2245.38,736.82,238.42,2620,614.73,758.36,88.94
Kota Banda Aceh,13461.74,861.15,763.81,259.31,162.92,361.86,182.23,255.77,583.04,600.51,393.49,147.72,261.01,252.95,164.53,195.86,221.19,10.94,63,78.82,2139.6,848.14,80.26,2742.57,547.5,932.16,351.41
Kota Sabang,15083.4,931.11,886.12,200.22,93.2,429.77,92.81,268.49,1212.7,569.73,182.41,314.86,230.94,322.04,91.83,93.04,133.5,26.09,106.08,-,2265.26,1058.43,188.86,2996.71,985.27,1335.63,68.3
Kota Langsa,12821.58,519.83,629.4,178.66,107.8,104.08,99.23,236.96,246.5,326.52,100.85,276.47,228.64,151.05,89.95,190.67,323.3,31.84,5.56,16.64,2291.1,1063.37,74.41,3066.12,818.1,1482.16,162.36
Kota Lhokseumawe,11175.71,614.03,537.54,161.75,104.81,180.29,37.46,200.93,470.72,328.41,149.55,127.13,312.5,226.77,73.62,245.24,343.87,16.17,44.34,93.19,1901.2,650.6,85.78,2637.77,653.17,798.45,180.44
Kota Subulussalam,13087.95,656.41,469.45,347.53,190.08,290.73,198.64,412,697.31,208.73,456.88,312.15,707.93,115,148.45,12.15,7.12,67.88,23.89,608.89,2049.4,586.35,18.96,3500.27,239.87,651.73,110.12
Nias,11114.47,282.63,754.26,255.79,114.59,34.23,44.65,265.93,6.81,146.88,129.38,1186.01,740.73,25.98,23.42,2.24,-,149.96,116.88,7.42,1939.68,596.24,0.49,1218.46,76.13,2662.25,333.44
Mandailing Natal,13744.12,521.75,484.47,323.22,115.75,187.17,188.13,548.64,786.37,173.52,228.01,593.44,632.31,145.83,171.41,12.06,7.22,12.21,10.3,279.62,2124.26,432.64,20.29,4368.46,153.35,1094.81,128.87
Tapanuli Selatan,14298.22,495.49,450.15,230.74,116.6,232.64,217.63,418.38,931.65,193.62,183.05,842.76,596.29,153.53,167.01,18.22,7.92,54.26,59.14,242.94,2347.95,599.04,9.76,4746.88,103.73,644.18,234.65
Tapanuli Tengah,11045.72,375.98,445.32,268.38,300.65,299.62,79.03,138.3,348.62,201.53,268.69,608.54,339.81,27.52,115.12,6.37,2.41,11.46,4.45,101.7,2088.68,595.62,36.9,3606.04,157.97,506.92,110.11
Tapanuli Utara,14027.79,580.49,369.49,380.09,579.66,401.17,221.29,192.66,342.23,562.71,269.85,591.26,353.28,100.04,290.07,2.98,-,11.62,17.77,83.02,2854.09,1308.08,21.14,3335.64,58.09,963.94,137.12
Toba Samosir,14971.31,791.93,432.69,324.33,785.14,550.4,229.27,172.74,348.93,779.27,211.11,585.27,297.55,102.48,193.58,70.83,-,5.55,-,64.51,2963.44,1800.7,57.18,2895.1,148.92,979.3,181.08
Labuhan Batu,14707.09,630.95,716.25,393.49,256.59,242.15,206.75,366.79,933.65,286.94,241.37,478.62,546.23,146.34,149.67,15.87,16.53,144.03,123.95,122.14,2147.46,1147.85,40.36,3245.88,574.51,1379.42,153.32
Asahan,15367.23,600.91,669.84,302.77,316.93,195.8,153.69,421.4,404.33,335.43,243.22,643.11,603.27,146.04,101.5,11.22,1.87,117.61,219.41,156.52,2393.29,1173.72,30.86,3276.98,951.22,1661.41,234.87
Simalungun,16496.75,782.1,606.58,403.58,447.61,250.88,307.86,390.28,296.62,439.72,181.73,537.46,587.58,149.82,158.5,149.66,38.6,107.14,148.01,543.23,2849.18,1380.24,47.67,3150.38,579.41,1761.9,201.02
Dairi,12900.86,486.55,324.64,375.68,406.85,311.25,129.4,161.44,1401.27,385.77,111.57,391.73,371.02,82.58,303.78,36.53,7.86,39.87,21.37,138.25,2099.34,1200.16,18.5,2281.33,89.82,1634.36,89.93
Karo,18512.82,580.94,592.3,419.82,425.72,364.75,430.11,363.18,2068.99,233.15,157.33,644.14,515.78,149.49,597.83,23.77,-,25.67,2.05,109.4,2890.3,1574.34,49.83,3206.96,340,2294.99,451.98
Deli Serdang,14282.3,817.14,712.44,227.08,296.35,322.31,95.94,516.61,907.15,232.77,207.12,427.32,518.32,235.08,168.67,92.12,83.56,73.9,96.35,159.43,2160.62,1086.87,43.2,2664.37,477.63,1558.07,101.89
Langkat,16072.9,526.07,770.17,293.8,255.64,343.97,168.79,571.47,928.57,300.39,279.24,558.57,735.86,256.54,236.11,93.08,72.24,103.31,130.26,416.95,2420.19,1246.05,61.63,2736.42,627.31,1802.71,137.58
Nias Selatan,11485.51,231.52,409.56,174.37,76.92,19.19,56.3,195.25,15.59,78.63,51.7,1438.49,837.67,85.56,47.71,-,-,230.14,118.56,14.68,2496.54,823.64,13.9,1809.35,243.48,1956.36,60.4
Humbang Hasundutan,11813.61,375.86,258.18,277.88,601.42,353.9,131.55,128.11,376.21,369.39,215.11,452.51,272.04,85.42,295,4.29,0.06,7.82,0.98,58.26,2612.83,1173.76,58.16,2835.07,65.76,663.85,140.21
Pakpak Bharat,12579.34,619.28,279.42,434.45,376.35,337.7,115.84,169.51,476.53,383.56,193.29,963.63,559.81,82.79,569.29,0.23,0.98,62.71,10.12,181.8,2163.04,1053.48,33.29,1802.19,76.02,1366.18,267.86
Samosir,14601.43,429.93,354.32,432.4,702.69,602.15,129.37,124.53,1916.55,652.41,144.68,713.77,262.51,42.45,231.08,3.72,5.1,0.93,-,181.29,2560,1344.46,29.98,2081.89,52.17,1456.64,146.4
Serdang Bedagai,14005.98,528.69,589.68,177.45,303.92,330.82,119.95,421.37,278.52,294.05,174.33,457.87,541.02,96.34,120.05,30.32,8.72,75.69,117.2,282.78,2237.81,1058.1,19.43,3069.58,649.7,1888.37,134.22
Batu Bara,13694.24,513.31,621.87,228.31,264.57,219.3,184.62,272.02,176.91,288.32,118.05,442.73,510.12,84.68,83.35,71.21,35.42,89.85,110.95,124.07,2355.72,973.01,6.75,3552.2,905.16,1386.96,74.78
Padang Lawas Utara,13138.89,627.25,584.39,393.63,180.25,267.08,294.26,367.4,797.23,206.94,256.23,694.31,870.34,174.13,95.01,61.51,58.78,29.51,80.45,333.73,1986.81,538.1,16.33,3229.14,146.07,669.03,180.93
Padang Lawas,13889.24,553.71,540.9,452.57,135.5,129.26,169.32,547.43,585.94,236.98,310.41,515,749.16,74.18,208.61,19.84,-,68.53,58.44,383.13,2035.53,623.34,46.72,3851.02,117.49,1119.67,356.55
Labuhan Batu Selatan,15438.88,687.89,736.88,451.17,332.99,211.3,287.34,559.97,579.85,298.36,200.66,587.1,872.18,207.93,94.55,31.4,0.25,241.8,170.34,122.83,2368.13,1107.42,23.2,2954.33,472.57,1693.76,144.67
Labuhan Batu Utara,13813.02,560.44,703.78,358.63,233.17,205.91,181.92,309.56,143.15,304.61,162.17,553.38,611.76,117.4,71.56,19.5,17.45,220.67,174.73,143.21,2540.08,900.47,7.88,3070.92,414.86,1497.9,287.9
Nias Utara,10890.14,465.35,704.57,257.36,113.16,35.83,41.06,357.97,37.46,130.62,116.84,698.84,843.94,79.24,48.98,7.64,7.49,51.7,69.59,-,1880.16,628.1,1.44,1407.53,279.41,2409.51,216.35
Nias Barat,7456.63,220.43,537.41,180.08,71.51,17.88,35.86,100.75,11.39,73.7,32.85,1043.76,433.44,25.22,0.99,0.91,0.73,91.28,185.64,-,1518.91,500.04,8.18,1525.96,70.76,577.6,191.35
Kota Sibolga,10897.54,580.71,626.47,164.09,265.53,457.84,114.13,153.91,28.62,260.94,256.87,289.78,236.03,58.28,127.05,49.17,7.69,0.89,5.16,59.45,1795.89,528.99,22,4357.69,88.02,153.62,208.73
Kota Tanjung Balai,11860.96,640.88,459.78,281.25,226.87,227.36,238.55,194.07,282.86,271.78,262.61,380.5,504.02,188.29,179.68,17.61,4.04,75.14,41.37,126.19,1880.39,656.51,55.5,3369.05,492.7,531.13,272.81
Kota Pematang Siantar,14748.18,745.04,647.51,270.02,412.66,453.07,285.35,257.39,875.89,421.42,254.83,433.88,449.23,200.68,275.51,158.23,27.33,51.53,7.81,229.94,2340.5,1266.31,82.74,3068.43,531.34,822.6,178.96
Kota Tebing Tinggi,15495.37,713.82,615.74,263,334.13,292.24,147.47,320.59,1100.93,432.42,206.8,392.9,534.25,149.81,104.6,71.28,35.99,42.06,42.72,403.46,2253.85,1086.01,98.61,3647.84,773.22,1312.34,119.29
Kota Medan,16539.65,807.79,595.79,288.62,432.44,454.92,320.88,345.99,1291.44,473.27,345.58,272.42,475.88,261.17,214.19,419.59,280.82,37.61,35.95,223.11,2240.85,1387.45,163.03,3184,685.77,1100.94,200.15
Kota Binjai,14574.84,688.5,735.42,217.73,237.16,373.91,132.22,486.36,992.5,282.03,213.55,374.38,575.78,245.85,136.2,93.1,46.92,54.37,81.63,135.32,2126.94,1196.81,59.26,2993.61,513.38,1391.77,190.13
Kota Padangsidimpuan,13722.22,518.24,534.99,199.65,224.56,279.96,177.64,301.77,427.1,276.07,204.61,652.13,422.87,99.29,153.8,131.75,41.12,22.88,30.24,164.54,2330.45,818.07,17.93,4261.45,256.73,492.16,682.2
Kota Gunungsitoli,10289.93,485.77,855.7,167.91,144.18,96.84,60.19,244.28,104.28,173.42,121.54,809.68,408.73,30.76,64.41,6.1,-,139.24,55.54,-,1830.24,701.14,16.53,1981.72,108.62,1524.07,159.02
Kepulauan Mentawai,15411.26,162.46,841.95,442.42,118.37,155.53,175.34,111.98,269.79,347.16,504.89,894.56,510.43,37.69,57.18,9.62,-,120.11,58.68,141.98,3132.94,754.67,65.75,4805.22,331.65,1061.77,299.15
Pesisir Selatan,16028.58,413.36,594.54,265.94,72.48,62.32,166.11,303.37,235.19,234.16,297.68,208.55,697.38,206.22,92.33,13.42,-,58.83,29.46,620.06,2690.76,546.34,5.06,7170.08,475.07,401.35,168.51
Solok,18141.49,522.77,440.1,234.03,73,55.54,256.01,109.09,696.56,273.1,335.1,328.34,634.71,281.05,166.56,3.64,-,47.35,7.29,1668.74,2303.35,475.76,84.96,8302.84,580.55,229.64,31.41
Sijunjung,19294.2,517.89,481.32,383.64,87.83,63.34,248.95,249.66,522.44,411.51,449.04,394.03,704.48,309.95,112.01,21.94,17.07,200.61,23.31,2601.33,2537.74,550.73,39.49,5911.73,323.53,1638.18,492.43
Tanah Datar,14756.83,579.47,499.88,250.52,112.01,107.01,209.55,49.87,336.6,299.23,243.93,326.8,374.07,295.76,139.23,5.55,-,106.89,17.81,1018.47,2221.34,536.67,7.51,6104.17,351.95,315.27,247.27
Padang Pariaman,16331.94,481.03,562.52,221.01,110.39,59.42,148.85,204.95,513.09,275.08,210.88,255.12,477.05,229.54,102.87,3.33,16.82,193.7,4.15,1022.7,2587.4,851.66,4.97,6131.77,408.1,930.42,325.1
Agam,16357.22,507.34,464.8,263.7,209.15,101.97,278.22,140.9,390.69,402.09,262.5,229.45,689.29,233.33,130.58,17.81,1.44,89.26,5.79,580.15,2697.99,814.65,26.29,6875.01,437.93,395.62,111.28
Lima Puluh Kota,15877.01,441.38,422.38,322.18,197.62,100.38,286.66,127.66,106.2,257,219.71,402.87,680.91,280.62,105.46,-,12.45,386.75,11.41,706.55,2431.72,632.29,32.73,6748.71,204.36,631.01,128
Pasaman,14651.83,417.16,363.69,237.34,107.61,131.81,259.34,311.33,285.48,236.42,311.15,507.72,706.05,119.05,135.14,23.29,3.88,117.97,21.07,811.62,1893.71,542.53,0.83,5345.17,247.3,1282.86,232.33
Solok Selatan,19639.5,485.12,411.18,300.64,89.87,74.54,321.8,319.21,900.45,272.7,457.56,399.13,888.82,250.51,115.24,1.19,-,126.11,4.91,1976.78,2966.9,747.92,11.44,6967.93,927.76,468.4,153.42
Dharmasraya,18151.5,444.96,523.85,292.85,132.77,130.27,212.78,329.89,621.11,345.17,339.25,467.39,777.56,253.68,146.43,13.62,3.84,167.83,76.57,1898.28,2592.48,770.33,25.7,5180.29,689.19,1296.15,419.26
Pasaman Barat,14095.02,376.38,468.73,300.17,71.23,61.53,160.37,411.77,217.09,266.42,297.38,415.21,768.55,156.04,220.16,25.2,2.36,73.58,32.76,1007.94,2177.41,428.05,15.69,3884,57.43,2048.77,150.81
Kota Padang,16805.98,639.45,857.69,157.68,241.01,121.79,290.84,219.06,661.9,426.57,304.96,211.29,548.09,413.66,166.76,26.99,7.13,62.65,6.69,887.98,2222.09,758.75,35.64,6606.43,467.21,223.49,240.17
Kota Solok,15342.6,493.19,531.03,182.75,107.48,110.48,189.03,95.8,730.68,368.22,348.08,182.07,431.25,299.97,156.15,12.83,-,45.71,10.25,1532.8,1964.02,596.84,13.92,6149.72,464.44,194.48,131.4
Kota Sawah Lunto,19134.67,587.43,600.71,324.05,240.95,109.98,329.09,101.52,637.42,568.46,398.54,247.52,453.61,269.51,153.91,29.49,12.68,70.48,32.73,2169.73,2563.22,879.54,35.48,6751.68,809.53,587.19,170.24
Kota Padang Panjang,14452.13,620.68,637.54,274.32,268.14,167.56,299.77,84.71,306.13,506.42,214.31,65.3,316.57,296.75,285.29,115.93,2.67,40.32,2.98,406.12,1770.54,682.02,24.51,6236.55,540.49,114.13,172.39
Kota Bukittinggi,12879.27,565.77,555.86,188.04,168.24,204.22,239.91,88.36,306.49,335.38,281.91,125.37,444.73,265.3,233.16,33.85,8.21,95.9,2.02,468.94,1642.63,542.7,50.89,5126.75,589.33,152.3,163.01
Kota Payakumbuh,14054.2,524.1,410.56,175.85,184.67,112.96,234.75,83.2,269.12,370.26,258.35,161.72,388.72,340.31,162.26,11.23,2.9,124.18,-,434.31,2046,743.37,73.05,5907.02,522.83,345.86,166.61
Kota Pariaman,13801.87,539.07,538.23,162.82,138.56,74.06,101.28,140.53,589.21,407.86,144.43,127.49,348.14,305.61,121.89,21.22,2.89,47.85,8.13,421.88,2088.18,771.08,36.65,5611.97,295.31,444.18,313.35
Kuantan Singingi,19543.49,745.28,731.03,508.24,100.05,99.29,303.82,475.65,309.5,449.88,516.71,343.47,765.94,331.61,86.72,102.92,71.95,177.66,54.25,1231.68,2969.73,1132.66,21.61,5557.2,458.37,1830.27,168
Indragiri Hulu,20010.19,804.12,803.65,483.37,164.23,261.95,210.79,419.74,536.66,410.71,555.99,488.07,727.26,203.72,144.03,142.62,63.65,163.54,148.95,1138.45,2813.97,1216.23,59.88,5042.42,812.17,2001.09,192.92
Indragiri Hilir,15043.3,463.97,632.29,612.44,111,106.04,251.08,427.72,251.94,230.12,477.28,450.84,617.67,164.76,161.65,24.4,28.93,217.8,127.52,457.31,2374.5,1383.97,116.77,3120.51,240.73,1702.02,290.05
Pelalawan,20986.86,801.01,727.56,563.86,176.25,216.83,429.68,405.09,342.58,424.41,638.79,339.73,947.82,264.22,221.79,64.23,42.71,65.86,61.69,1004.68,3164.1,1422.13,46.34,4675.18,827.34,2914.5,198.48
Siak,18971.5,818.53,830.34,365.72,287.72,189.31,379.14,386,665.38,494.37,462.07,344,634.73,334.06,110.5,86.59,86.84,186.34,109.22,572.43,2681.85,1680.44,106.49,4134.63,776.19,2038.38,210.24
Kampar,19314.11,719.72,662.83,316.98,156.08,165.6,256.05,413.67,453.28,498.89,429.75,344.17,756.24,213.61,77.1,96.84,30.89,157.32,114.34,889.01,3038.86,1413.83,36.69,5630.41,532.64,1789.99,119.33
Rokan Hulu,18320.32,793.62,722.07,531.35,236.75,225.48,301.1,558.55,548.6,500.52,393.54,386.22,849.29,228.77,164.67,109.02,24.6,191.64,87.78,690.04,2624.23,1005.98,5.73,4395.1,349.11,2201.68,194.88
Bengkalis,19193.66,817.66,820.64,502.87,325.29,196.68,287.59,385.32,721.78,534.9,535.81,318.84,730.42,379.04,108.4,101.92,74.67,129.93,45.41,753.55,2582.96,1555.6,56.84,4530.94,572.67,1892.91,231.02
Rokan Hilir,15676.7,546.23,585.1,510.61,289.03,271,252.07,457.01,572.34,429.63,318.89,308.85,745.34,219.87,59.53,79.35,42.05,152.36,94.92,222.2,2417.51,1276.43,24.53,3069.1,579.56,2015.1,138.11
Kepulauan Meranti,14659.67,544.81,856.97,487.3,95.82,356.67,147.54,472.04,209.5,289.98,451.4,495.74,453.25,476.24,130.8,56.85,28.07,99.34,20.16,91.02,2067.11,1508.17,20.31,2796.19,346.32,1583.83,574.25
Kota Pekanbaru,15880.91,654.65,548.92,207.44,355.46,177.14,302.58,160.67,578.25,574,392.09,157.04,467.25,315.38,219.25,49.83,18.8,69.83,11.56,681.27,2160.1,1007.17,159.83,4997.74,410.99,956.62,247.06
Kota Dumai,16755.1,736.25,797.23,248.13,294.19,284.13,292.97,381.3,237.57,524.46,407.02,343.11,549.28,358.96,112.63,12.23,30.84,117.03,115.83,658.13,2658.11,1298.68,46.32,4098.39,367.14,1632.25,152.89
Kerinci,17433.75,689.47,434.05,373.65,26.62,97.24,793.59,204.05,246.95,302.38,374.48,514.91,1051.8,284.77,276.41,10.79,-,68.34,-,1141.13,2073.62,619.82,20.28,6804.71,315.87,214.98,493.82
Merangin,15444.32,532.81,647.47,395.54,136.78,132.15,212.18,446.97,301.84,251.98,233.87,533.16,754.34,135.91,186.28,61.81,22.7,96.08,65.38,959.71,2141.43,777.6,31.29,3924.47,185.01,1989.25,288.29
Sarolangun,17002.47,663.35,712.7,506.07,218.69,149.72,168.49,423.96,402.31,200.61,392.13,536.99,787.7,212.26,132.68,65.23,57.69,182.84,161.47,1569.38,2349.14,892.87,7.29,3542.42,109.18,2299.61,257.69
Batang Hari,18144.74,710.83,876.29,428.54,252.21,163.02,301.07,513.61,382.39,344.12,380.42,527.53,763.54,290.67,132.64,92.68,74.44,147.75,82.77,1180.54,2477.22,1282.13,11.26,3836.92,151.74,2422.73,317.68
Muaro Jambi,18061.52,718.68,758.62,450.43,315.53,304.67,330.46,524.79,420.4,468.97,453.14,435.22,726.08,271.51,259.98,85.52,75.03,182.94,229.55,837.79,2538.22,1299.98,46.8,3728.5,417.91,2062.97,117.85
Tanjung Jabung Timur,20492.6,854.75,782.99,707.81,363.9,292.33,400.23,713.93,581.47,495.99,612.49,499.3,841.56,215.53,245.54,195.82,63.9,224.68,140.01,986.14,2924.04,1615.68,3.99,4460.84,162.52,1931.06,176.09
Tanjung Jabung Barat,16081.8,839.87,692.22,535.91,248.85,192.79,365.45,535.77,253.89,328.35,411.47,437.59,669.37,248.45,154.24,54.08,45,172.6,119.88,508.92,2285.37,1283.76,9.55,3041.75,66.41,2257.36,322.9
Tebo,15798.82,622.99,686.17,369.44,153.2,138.33,290.18,441.99,287.37,281.48,495.57,506.3,912.03,169.23,95.74,93.23,50.54,207.92,111.03,871.44,2090.56,984.82,5.32,3643.55,261.93,1892.47,136
Bungo,18238.71,592.78,672.56,539.36,183.29,129.64,246.73,478.91,190.76,440.5,511.25,549.36,844.25,257.5,182.05,108.35,32.93,153.55,101.96,1316.65,2258.37,812.93,11.02,4767.39,295.88,2059.77,500.95
Kota Jambi,15513.46,761.43,774.88,257.63,253.46,311.02,340.71,338.42,252.46,557.1,327.29,189.66,402.9,319.2,194.67,207.29,216.32,101.6,48.35,628.24,2445.09,1109.29,74.55,3713.12,255.12,1090.88,342.8
Kota Sungai Penuh,15820.05,703.61,462.99,205.44,82.71,92.73,357.88,174.23,254.25,256.94,307.74,306.79,630.37,318.31,177.6,32.22,-,124.75,60.98,1130.16,2166.91,531.04,47.42,6817.42,294.49,162.03,121.06
Ogan Komering Ulu,12684.02,602.15,677.17,338.45,227.89,94.55,101.25,419.44,562.2,254.51,212.59,508.55,586.07,135.18,130.94,389.7,225.76,188.58,88.39,103.45,1723.75,1303.97,20.38,1442.07,137.06,1861.28,348.68
Ogan Komering Ilir,15530.02,581.57,621.82,602.97,272.62,234.42,227.37,587.79,434.52,436.85,507.91,478.47,602.45,185.46,210.31,398.44,262.45,269.49,221.11,397.86,2464.65,1434.56,27.22,1734.44,306.13,1811.19,217.96
Muara Enim,12089.71,511.43,506.01,379.62,170.71,165.64,102.32,331.06,452.76,222.63,222.2,361.71,507.39,190.03,157.59,386.37,240.07,124.08,59.5,259.1,1708.89,1167,36.45,2319.32,242.08,1040.24,225.51
Lahat,16646.43,528.78,716.53,551.59,350.04,275.35,347.49,263.79,709.39,327.55,239,495.5,892.91,241.9,365.93,250.59,164.43,241.38,120.6,232.38,2032.11,1747.21,66.19,3322.69,255.21,1295.95,611.94
Musi Rawas,13690.37,525.37,588.83,362.84,255.86,245.92,186.54,546.64,412.53,207.02,258.78,533.04,742.23,112.38,122.21,325.67,223.82,254.17,242.84,527.91,1878.09,1180.5,11.68,2083.01,161.44,1540.34,160.71
Musi Banyuasin,15663.72,639.53,668.79,587.03,337.32,271.38,194.11,520.21,451.5,492.19,319.19,492.28,601.88,189.28,146.5,202.3,325.03,306.32,134.01,553.71,2245.64,1429.15,14.73,2285.82,366.2,1709.35,180.26
Banyu Asin,15690.15,641.5,717.3,591.34,289.41,287.22,321.21,674.38,283.55,405.82,459.18,350.85,699.43,231.28,110.65,407.41,428.06,183.66,95.22,207.38,2357.87,1605.79,43.52,2301.09,313.65,1547.55,135.84
Ogan Komering Ulu Selatan,14840.04,518.15,621.66,404.47,111.01,135.55,314.53,482.44,916.89,226.19,209.75,454.9,791.3,162.47,211.9,158.97,149.71,127.81,111.41,601.09,2145.18,1466.65,14.12,1502.46,121.13,2606.36,273.93
Ogan Komering Ulu Timur,12423.24,443.22,434.07,178.42,132.31,85.71,112.45,606.8,418.12,149.36,198.62,509.22,553.66,188.56,130.06,410.49,91.97,263.17,228.15,210.03,2301.09,1166.52,6.79,1033.77,247.8,2156.6,166.27
Ogan Ilir,9790.8,355.19,349.41,387.32,205.24,166.38,79.37,239.37,343.08,374.48,403.19,216.62,336.28,188.72,168.67,157.57,181.33,17.54,26.68,139.32,1700.89,1000.63,21.36,1695.69,100,734.81,201.65
Empat Lawang,14293.23,421.94,579.55,491.4,264.34,220.79,448.11,255.93,686.79,206.57,240.28,371.68,1054.58,220.46,257.95,33.26,51.25,321.65,132.25,481.85,1399.99,1223.75,9.45,2394.16,143.98,1506.31,874.95
Penukal Abab Lematang Ilir,11504.28,467.25,545,512.4,230.96,191.13,106.79,330.8,382.03,281.04,320.09,323.41,580.12,134.34,100.57,264.91,273.59,68.24,82.1,167.26,1736.73,940.31,17.24,2283.63,225.88,782.86,155.6
Musi Rawas Utara,13813.97,532.55,430.58,422.2,200.77,167.69,220.94,297.92,537.75,173.3,311.24,412.79,727.99,180.67,189.39,210.87,148.26,126.08,79.29,870.14,1912.8,1219.01,1.85,2655.51,139.32,1351.14,293.91
