Kabupaten/Kota,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rata-rata Pengeluaran Perkapita Seminggu Menurut Kelompok Sayur-Sayuran Per Kabupaten/kota (Rupiah/Kapita/Minggu),,,,,,,,,,,,,,,,,,,,,,,,,,
,SAYUR-SAYURAN,Bayam,Kangkung,Kol/kubis,Sawi putih (petsai),Sawi hijau,Buncis,Kacang panjang,"Tomat sayur, tomat ceri",Wortel,Mentimun,Daun ketela pohon/daun singkong,Terong,Tauge,"Labu, labu siam, labu parang",Bahan sayur sop/cap cay/ kimlo (paket),Bahan sayur asam/lodeh (paket),Nangka muda,Pepaya muda,Jengkol,Bawang putih,Bawang merah,Bawang bombay,Cabe merah,Cabe hijau,Cabe rawit,Sayur-sayuran lainnya
,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
Simeulue,12318.24,354.36,782.14,202.72,71.08,80.88,60.11,215.41,272.89,174.06,260.51,508.11,498.74,157.43,76.6,5.28,21.68,68.91,35.4,40.54,2265.97,595.58,22.92,3235.9,123.99,2061.52,125.51
Aceh Singkil,16723.57,662.22,670.57,493.13,204.54,330.88,305.44,636.24,1671.87,377.73,556.53,403.51,687.25,192.69,106.91,3.45,0.49,56.51,25.44,618.45,2477.69,837.41,128.65,3866.9,440.46,902.65,65.97
Aceh Selatan,10169.1,380.82,420.61,165.44,32.92,97.5,36.6,293.54,216.33,153.22,133.85,147.2,575.37,96.71,48.01,2.53,-,72.33,25.96,202.04,1762.54,536.21,18.84,2914.23,102.16,1576.34,157.82
Aceh Tenggara,12211.34,498.11,473.49,230.45,130.67,184.74,85.97,412.37,698.28,163.65,100.33,430.31,455.74,150.03,143.15,22.83,2.46,101.44,60.83,195.73,2130.01,807.2,46.07,2336.88,533.37,1688.76,128.48
Aceh Timur,11596.54,586.09,525.06,190.94,80.74,111.93,84.01,366.48,682.75,207.34,178.67,222.2,279.91,179.74,94.53,102.03,358.05,105.26,82.74,107.48,2038.88,832.33,149.63,1947.71,809.06,1106.22,166.78
Aceh Tengah,14497.93,593.82,540.69,255.34,122.22,289.31,485.35,324.91,643.48,275.71,134.34,287.42,518.23,187.58,586.84,82.22,59.58,24.21,1.52,70.87,2114.03,751.8,130.13,3096.85,789.33,1368.65,763.5
Aceh Barat,14399.68,796.92,784.23,225.75,47.35,377.42,101.31,584.61,285.97,438.66,245.07,481.82,547.18,324.25,168.86,130.17,28.55,83.38,30.6,362.03,2370.76,790,28.68,2541.67,230.38,1896.19,497.88
Aceh Besar,11855.14,548.11,608.26,260.5,62.44,160.85,156.04,298.07,1176.88,378.51,203.76,188.02,250.05,263.89,98.01,104.74,131.53,96.18,116.53,31.15,1878.37,700.18,65.53,2230.92,606.54,1102.98,137.09
