Cluster,Size,Centroid_Buah,Centroid_Sayur,Mean_Buah,Mean_Sayur,Median_Buah,Median_Sayur,Std_Buah,Std_Sayur,Silhouette_Score
0,209,12265.885167464114,15813.181818181818,12265.885167464116,15813.181818181818,11793.0,15504.0,2167.8291596886147,4077.841028923005,0.3697304324345739
1,298,7143.057046979866,13296.164429530201,7143.057046979866,13296.164429530201,7383.0,12598.0,1731.5578552743461,4162.369425639458,0.441250110518971
2,7,12093.285714285714,55512.428571428565,12093.285714285714,55512.42857142857,10747.0,55758.0,7979.196194151507,13932.724486583651,0.34181899060239435
