Kabupaten_Kota,Tahun,Kategori,Produk,Pengeluaran,Is_Total,Region,Kategori_Pengeluaran,Pengeluaran_Bulanan,Pengeluaran_Tahunan
Simeulue,2023,Buah,BUAH-BUAHAN,5287.59,True,Lainnya,Sangat Tinggi,21150.36,274954.68
Aceh Singkil,2023,Buah,BUAH-BUAHAN,7377.18,True,Aceh,Sangat Tinggi,29508.72,383613.36
Aceh Selatan,2023,Buah,BUAH-BUAHAN,4589.2,True,Aceh,Sangat Tinggi,18356.8,238638.4
Aceh Tenggara,2023,Buah,BUAH-BUAHAN,5381.6,True,Aceh,Sangat Tinggi,21526.4,279843.2
Aceh Timur,2023,Buah,BUAH-BUAHAN,5630.94,True,Aceh,Sangat Tinggi,22523.76,292808.88
Aceh Tengah,2023,Buah,BUAH-BUAHAN,10500.46,True,Aceh,Sangat Tinggi,42001.84,546023.9199999999
Aceh Barat,2023,Buah,BUAH-BUAHAN,9451.44,True,Aceh,Sangat Tinggi,37805.76,491474.88
Aceh Besar,2023,Buah,BUAH-BUAHAN,5480.57,True,Aceh,Sangat Tinggi,21922.28,284989.64
Pidie,2023,Buah,BUAH-BUAHAN,5716.1,True,Lainnya,Sangat Tinggi,22864.4,297237.2
Bireuen,2023,Buah,BUAH-BUAHAN,7543.48,True,Lainnya,Sangat Tinggi,30173.92,392260.95999999996
Aceh Utara,2023,Buah,BUAH-BUAHAN,6295.52,True,Aceh,Sangat Tinggi,25182.08,327367.04000000004
Aceh Barat Daya,2023,Buah,BUAH-BUAHAN,5656.33,True,Aceh,Sangat Tinggi,22625.32,294129.16
Gayo Lues,2023,Buah,BUAH-BUAHAN,8835.76,True,Lainnya,Sangat Tinggi,35343.04,459459.52
Aceh Tamiang,2023,Buah,BUAH-BUAHAN,5965.12,True,Aceh,Sangat Tinggi,23860.48,310186.24
Nagan Raya,2023,Buah,BUAH-BUAHAN,17231.33,True,Lainnya,Sangat Tinggi,68925.32,896029.1600000001
Aceh Jaya,2023,Buah,BUAH-BUAHAN,7321.97,True,Aceh,Sangat Tinggi,29287.88,380742.44
Bener Meriah,2023,Buah,BUAH-BUAHAN,16050.01,True,Lainnya,Sangat Tinggi,64200.04,834600.52
Pidie Jaya,2023,Buah,BUAH-BUAHAN,6308.57,True,Lainnya,Sangat Tinggi,25234.28,328045.64
Kota Banda Aceh,2023,Buah,BUAH-BUAHAN,10298.43,True,Aceh,Sangat Tinggi,41193.72,535518.36
Kota Sabang,2023,Buah,BUAH-BUAHAN,9966.15,True,Lainnya,Sangat Tinggi,39864.6,518239.8
Kota Langsa,2023,Buah,BUAH-BUAHAN,8090.42,True,Lainnya,Sangat Tinggi,32361.68,420701.84
Kota Lhokseumawe,2023,Buah,BUAH-BUAHAN,7474.15,True,Lainnya,Sangat Tinggi,29896.6,388655.8
Kota Subulussalam,2023,Buah,BUAH-BUAHAN,7786.62,True,Lainnya,Sangat Tinggi,31146.48,404904.24
Nias,2023,Buah,BUAH-BUAHAN,3446.42,True,Lainnya,Sangat Tinggi,13785.68,179213.84
Mandailing Natal,2023,Buah,BUAH-BUAHAN,4462.03,True,Lainnya,Sangat Tinggi,17848.12,232025.56
Tapanuli Selatan,2023,Buah,BUAH-BUAHAN,5222.05,True,Lainnya,Sangat Tinggi,20888.2,271546.60000000003
Tapanuli Tengah,2023,Buah,BUAH-BUAHAN,4984.65,True,Lainnya,Sangat Tinggi,19938.6,259201.8
Tapanuli Utara,2023,Buah,BUAH-BUAHAN,8824.73,True,Lainnya,Sangat Tinggi,35298.92,458885.95999999996
Toba Samosir,2023,Buah,BUAH-BUAHAN,11973.75,True,Lainnya,Sangat Tinggi,47895.0,622635.0
Labuhan Batu,2023,Buah,BUAH-BUAHAN,5750.68,True,Lainnya,Sangat Tinggi,23002.72,299035.36
Asahan,2023,Buah,BUAH-BUAHAN,6653.17,True,Lainnya,Sangat Tinggi,26612.68,345964.84
Simalungun,2023,Buah,BUAH-BUAHAN,8632.41,True,Lainnya,Sangat Tinggi,34529.64,448885.32
Dairi,2023,Buah,BUAH-BUAHAN,7204.92,True,Lainnya,Sangat Tinggi,28819.68,374655.84
Karo,2023,Buah,BUAH-BUAHAN,9156.44,True,Lainnya,Sangat Tinggi,36625.76,476134.88
Deli Serdang,2023,Buah,BUAH-BUAHAN,7259.24,True,Lainnya,Sangat Tinggi,29036.96,377480.48
Langkat,2023,Buah,BUAH-BUAHAN,6546.19,True,Lainnya,Sangat Tinggi,26184.76,340401.88
Nias Selatan,2023,Buah,BUAH-BUAHAN,1980.7,True,Lainnya,Tinggi,7922.8,102996.40000000001
Humbang Hasundutan,2023,Buah,BUAH-BUAHAN,7066.99,True,Lainnya,Sangat Tinggi,28267.96,367483.48
Pakpak Bharat,2023,Buah,BUAH-BUAHAN,7556.1,True,Lainnya,Sangat Tinggi,30224.4,392917.2
Samosir,2023,Buah,BUAH-BUAHAN,10616.36,True,Lainnya,Sangat Tinggi,42465.44,552050.72
Serdang Bedagai,2023,Buah,BUAH-BUAHAN,6297.94,True,Lainnya,Sangat Tinggi,25191.76,327492.88
Batu Bara,2023,Buah,BUAH-BUAHAN,6094.6,True,Lainnya,Sangat Tinggi,24378.4,316919.2
Padang Lawas Utara,2023,Buah,BUAH-BUAHAN,5010.83,True,Lainnya,Sangat Tinggi,20043.32,260563.16
Padang Lawas,2023,Buah,BUAH-BUAHAN,5683.53,True,Lainnya,Sangat Tinggi,22734.12,295543.56
Labuhan Batu Selatan,2023,Buah,BUAH-BUAHAN,5638.77,True,Lainnya,Sangat Tinggi,22555.08,293216.04000000004
Labuhan Batu Utara,2023,Buah,BUAH-BUAHAN,6433.78,True,Lainnya,Sangat Tinggi,25735.12,334556.56
Nias Utara,2023,Buah,BUAH-BUAHAN,2335.84,True,Lainnya,Sangat Tinggi,9343.36,121463.68000000001
Nias Barat,2023,Buah,BUAH-BUAHAN,2171.9,True,Lainnya,Sangat Tinggi,8687.6,112938.8
Kota Sibolga,2023,Buah,BUAH-BUAHAN,7206.36,True,Lainnya,Sangat Tinggi,28825.44,374730.72
Kota Tanjung Balai,2023,Buah,BUAH-BUAHAN,7770.85,True,Lainnya,Sangat Tinggi,31083.4,404084.2
Kota Pematang Siantar,2023,Buah,BUAH-BUAHAN,11936.48,True,Lainnya,Sangat Tinggi,47745.92,620696.96
Kota Tebing Tinggi,2023,Buah,BUAH-BUAHAN,7832.01,True,Lainnya,Sangat Tinggi,31328.04,407264.52
Kota Medan,2023,Buah,BUAH-BUAHAN,11052.07,True,Lainnya,Sangat Tinggi,44208.28,574707.64
Kota Binjai,2023,Buah,BUAH-BUAHAN,7263.97,True,Lainnya,Sangat Tinggi,29055.88,377726.44
Kota Padangsidimpuan,2023,Buah,BUAH-BUAHAN,6905.25,True,Lainnya,Sangat Tinggi,27621.0,359073.0
Kota Gunungsitoli,2023,Buah,BUAH-BUAHAN,2892.79,True,Lainnya,Sangat Tinggi,11571.16,150425.08
Kepulauan Mentawai,2023,Buah,BUAH-BUAHAN,5353.65,True,Lainnya,Sangat Tinggi,21414.6,278389.8
Pesisir Selatan,2023,Buah,BUAH-BUAHAN,5025.19,True,Lainnya,Sangat Tinggi,20100.76,261309.87999999998
Solok,2023,Buah,BUAH-BUAHAN,5214.32,True,Lainnya,Sangat Tinggi,20857.28,271144.64
Sijunjung,2023,Buah,BUAH-BUAHAN,6449.96,True,Lainnya,Sangat Tinggi,25799.84,335397.92
Tanah Datar,2023,Buah,BUAH-BUAHAN,6319.09,True,Lainnya,Sangat Tinggi,25276.36,328592.68
Padang Pariaman,2023,Buah,BUAH-BUAHAN,4697.63,True,Lainnya,Sangat Tinggi,18790.52,244276.76
Agam,2023,Buah,BUAH-BUAHAN,5553.99,True,Lainnya,Sangat Tinggi,22215.96,288807.48
Lima Puluh Kota,2023,Buah,BUAH-BUAHAN,5713.53,True,Lainnya,Sangat Tinggi,22854.12,297103.56
Pasaman,2023,Buah,BUAH-BUAHAN,4010.97,True,Lainnya,Sangat Tinggi,16043.88,208570.44
Solok Selatan,2023,Buah,BUAH-BUAHAN,5371.14,True,Lainnya,Sangat Tinggi,21484.56,279299.28
Dharmasraya,2023,Buah,BUAH-BUAHAN,6239.9,True,Lainnya,Sangat Tinggi,24959.6,324474.8
Pasaman Barat,2023,Buah,BUAH-BUAHAN,4984.78,True,Lainnya,Sangat Tinggi,19939.12,259208.56
Kota Padang,2023,Buah,BUAH-BUAHAN,7831.0,True,Lainnya,Sangat Tinggi,31324.0,407212.0
Kota Solok,2023,Buah,BUAH-BUAHAN,9890.89,True,Lainnya,Sangat Tinggi,39563.56,514326.27999999997
Kota Sawah Lunto,2023,Buah,BUAH-BUAHAN,6859.97,True,Lainnya,Sangat Tinggi,27439.88,356718.44
Kota Padang Panjang,2023,Buah,BUAH-BUAHAN,7535.23,True,Lainnya,Sangat Tinggi,30140.92,391831.95999999996
Kota Bukittinggi,2023,Buah,BUAH-BUAHAN,8638.01,True,Lainnya,Sangat Tinggi,34552.04,449176.52
Kota Payakumbuh,2023,Buah,BUAH-BUAHAN,8083.31,True,Lainnya,Sangat Tinggi,32333.24,420332.12
Kota Pariaman,2023,Buah,BUAH-BUAHAN,6838.57,True,Lainnya,Sangat Tinggi,27354.28,355605.64
Kuantan Singingi,2023,Buah,BUAH-BUAHAN,6451.75,True,Lainnya,Sangat Tinggi,25807.0,335491.0
Indragiri Hulu,2023,Buah,BUAH-BUAHAN,7435.1,True,Lainnya,Sangat Tinggi,29740.4,386625.2
Indragiri Hilir,2023,Buah,BUAH-BUAHAN,5295.81,True,Lainnya,Sangat Tinggi,21183.24,275382.12
Pelalawan,2023,Buah,BUAH-BUAHAN,7120.79,True,Lainnya,Sangat Tinggi,28483.16,370281.08
Siak,2023,Buah,BUAH-BUAHAN,8119.81,True,Lainnya,Sangat Tinggi,32479.24,422230.12
Kampar,2023,Buah,BUAH-BUAHAN,6965.25,True,Lainnya,Sangat Tinggi,27861.0,362193.0
Rokan Hulu,2023,Buah,BUAH-BUAHAN,7114.8,True,Lainnya,Sangat Tinggi,28459.2,369969.60000000003
Bengkalis,2023,Buah,BUAH-BUAHAN,7987.02,True,Lainnya,Sangat Tinggi,31948.08,415325.04000000004
Rokan Hilir,2023,Buah,BUAH-BUAHAN,5909.76,True,Lainnya,Sangat Tinggi,23639.04,307307.52
Kepulauan Meranti,2023,Buah,BUAH-BUAHAN,5059.59,True,Lainnya,Sangat Tinggi,20238.36,263098.68
Kota Pekanbaru,2023,Buah,BUAH-BUAHAN,9440.08,True,Lainnya,Sangat Tinggi,37760.32,490884.16
Kota Dumai,2023,Buah,BUAH-BUAHAN,8346.62,True,Lainnya,Sangat Tinggi,33386.48,434024.24000000005
Kerinci,2023,Buah,BUAH-BUAHAN,8561.54,True,Lainnya,Sangat Tinggi,34246.16,445200.0800000001
Merangin,2023,Buah,BUAH-BUAHAN,5132.42,True,Lainnya,Sangat Tinggi,20529.68,266885.84
Sarolangun,2023,Buah,BUAH-BUAHAN,5719.34,True,Lainnya,Sangat Tinggi,22877.36,297405.68
Batang Hari,2023,Buah,BUAH-BUAHAN,7177.31,True,Lainnya,Sangat Tinggi,28709.24,373220.12
Muaro Jambi,2023,Buah,BUAH-BUAHAN,8186.23,True,Lainnya,Sangat Tinggi,32744.92,425683.95999999996
Tanjung Jabung Timur,2023,Buah,BUAH-BUAHAN,8154.21,True,Lainnya,Sangat Tinggi,32616.84,424018.92
Tanjung Jabung Barat,2023,Buah,BUAH-BUAHAN,5637.83,True,Lainnya,Sangat Tinggi,22551.32,293167.16
Tebo,2023,Buah,BUAH-BUAHAN,5660.72,True,Lainnya,Sangat Tinggi,22642.88,294357.44
Bungo,2023,Buah,BUAH-BUAHAN,7700.33,True,Lainnya,Sangat Tinggi,30801.32,400417.16
Kota Jambi,2023,Buah,BUAH-BUAHAN,9966.54,True,Lainnya,Sangat Tinggi,39866.16,518260.0800000001
Kota Sungai Penuh,2023,Buah,BUAH-BUAHAN,6769.98,True,Lainnya,Sangat Tinggi,27079.92,352038.95999999996
Ogan Komering Ulu,2023,Buah,BUAH-BUAHAN,5872.46,True,Lainnya,Sangat Tinggi,23489.84,305367.92
Ogan Komering Ilir,2023,Buah,BUAH-BUAHAN,6866.01,True,Lainnya,Sangat Tinggi,27464.04,357032.52
Muara Enim,2023,Buah,BUAH-BUAHAN,4674.91,True,Lainnya,Sangat Tinggi,18699.64,243095.32
Lahat,2023,Buah,BUAH-BUAHAN,6708.79,True,Lainnya,Sangat Tinggi,26835.16,348857.08
Musi Rawas,2023,Buah,BUAH-BUAHAN,5884.62,True,Lainnya,Sangat Tinggi,23538.48,306000.24
Musi Banyuasin,2023,Buah,BUAH-BUAHAN,6725.41,True,Lainnya,Sangat Tinggi,26901.64,349721.32
Banyu Asin,2023,Buah,BUAH-BUAHAN,6854.12,True,Lainnya,Sangat Tinggi,27416.48,356414.24
Ogan Komering Ulu Selatan,2023,Buah,BUAH-BUAHAN,4932.03,True,Lainnya,Sangat Tinggi,19728.12,256465.56
Ogan Komering Ulu Timur,2023,Buah,BUAH-BUAHAN,4323.61,True,Lainnya,Sangat Tinggi,17294.44,224827.71999999997
Ogan Ilir,2023,Buah,BUAH-BUAHAN,4338.93,True,Lainnya,Sangat Tinggi,17355.72,225624.36000000002
Empat Lawang,2023,Buah,BUAH-BUAHAN,4964.73,True,Lainnya,Sangat Tinggi,19858.92,258165.95999999996
Penukal Abab Lematang Ilir,2023,Buah,BUAH-BUAHAN,4805.55,True,Lainnya,Sangat Tinggi,19222.2,249888.6
Musi Rawas Utara,2023,Buah,BUAH-BUAHAN,5674.12,True,Lainnya,Sangat Tinggi,22696.48,295054.24
Kota Palembang,2023,Buah,BUAH-BUAHAN,7681.77,True,Lainnya,Sangat Tinggi,30727.08,399452.04000000004
Kota Prabumulih,2023,Buah,BUAH-BUAHAN,5922.89,True,Lainnya,Sangat Tinggi,23691.56,307990.28
Kota Pagar Alam,2023,Buah,BUAH-BUAHAN,4135.99,True,Lainnya,Sangat Tinggi,16543.96,215071.47999999998
Kota Lubuklinggau,2023,Buah,BUAH-BUAHAN,6731.65,True,Lainnya,Sangat Tinggi,26926.6,350045.8
Bengkulu Selatan,2023,Buah,BUAH-BUAHAN,4392.24,True,Lainnya,Sangat Tinggi,17568.96,228396.47999999998
Rejang Lebong,2023,Buah,BUAH-BUAHAN,6506.75,True,Lainnya,Sangat Tinggi,26027.0,338351.0
Bengkulu Utara,2023,Buah,BUAH-BUAHAN,6637.22,True,Lainnya,Sangat Tinggi,26548.88,345135.44
Kaur,2023,Buah,BUAH-BUAHAN,4375.31,True,Lainnya,Sangat Tinggi,17501.24,227516.12000000002
Seluma,2023,Buah,BUAH-BUAHAN,5552.37,True,Lainnya,Sangat Tinggi,22209.48,288723.24
Mukomuko,2023,Buah,BUAH-BUAHAN,7094.5,True,Lainnya,Sangat Tinggi,28378.0,368914.0
Lebong,2023,Buah,BUAH-BUAHAN,5612.78,True,Lainnya,Sangat Tinggi,22451.12,291864.56
Kepahiang,2023,Buah,BUAH-BUAHAN,5394.17,True,Lainnya,Sangat Tinggi,21576.68,280496.84
Bengkulu Tengah,2023,Buah,BUAH-BUAHAN,5808.0,True,Lainnya,Sangat Tinggi,23232.0,302016.0
Kota Bengkulu,2023,Buah,BUAH-BUAHAN,8022.09,True,Lainnya,Sangat Tinggi,32088.36,417148.68
Lampung Barat,2023,Buah,BUAH-BUAHAN,4933.77,True,Lainnya,Sangat Tinggi,19735.08,256556.04000000004
Tanggamus,2023,Buah,BUAH-BUAHAN,4137.89,True,Lainnya,Sangat Tinggi,16551.56,215170.28000000003
Lampung Selatan,2023,Buah,BUAH-BUAHAN,6813.94,True,Lainnya,Sangat Tinggi,27255.76,354324.88
Lampung Timur,2023,Buah,BUAH-BUAHAN,5557.57,True,Lainnya,Sangat Tinggi,22230.28,288993.64
Lampung Tengah,2023,Buah,BUAH-BUAHAN,6059.52,True,Lainnya,Sangat Tinggi,24238.08,315095.04000000004
Lampung Utara,2023,Buah,BUAH-BUAHAN,5270.1,True,Lainnya,Sangat Tinggi,21080.4,274045.2
Way Kanan,2023,Buah,BUAH-BUAHAN,9108.78,True,Lainnya,Sangat Tinggi,36435.12,473656.56000000006
Tulangbawang,2023,Buah,BUAH-BUAHAN,4689.73,True,Lainnya,Sangat Tinggi,18758.92,243865.95999999996
Pesawaran,2023,Buah,BUAH-BUAHAN,5764.75,True,Lainnya,Sangat Tinggi,23059.0,299767.0
Pringsewu,2023,Buah,BUAH-BUAHAN,6380.7,True,Lainnya,Sangat Tinggi,25522.8,331796.39999999997
Mesuji,2023,Buah,BUAH-BUAHAN,4887.73,True,Lainnya,Sangat Tinggi,19550.92,254161.95999999996
Tulang Bawang Barat,2023,Buah,BUAH-BUAHAN,4276.44,True,Lainnya,Sangat Tinggi,17105.76,222374.87999999998
Pesisir Barat,2023,Buah,BUAH-BUAHAN,4393.41,True,Lainnya,Sangat Tinggi,17573.64,228457.32
Kota Bandar Lampung,2023,Buah,BUAH-BUAHAN,8616.2,True,Lainnya,Sangat Tinggi,34464.8,448042.4
Kota Metro,2023,Buah,BUAH-BUAHAN,7998.82,True,Lainnya,Sangat Tinggi,31995.28,415938.64
Bangka,2023,Buah,BUAH-BUAHAN,11271.56,True,Lainnya,Sangat Tinggi,45086.24,586121.12
Belitung,2023,Buah,BUAH-BUAHAN,8329.71,True,Lainnya,Sangat Tinggi,33318.84,433144.9199999999
Bangka Barat,2023,Buah,BUAH-BUAHAN,9394.93,True,Lainnya,Sangat Tinggi,37579.72,488536.36
Bangka Tengah,2023,Buah,BUAH-BUAHAN,10047.24,True,Lainnya,Sangat Tinggi,40188.96,522456.48
Bangka Selatan,2023,Buah,BUAH-BUAHAN,7398.82,True,Lainnya,Sangat Tinggi,29595.28,384738.64
Belitung Timur,2023,Buah,BUAH-BUAHAN,8523.18,True,Lainnya,Sangat Tinggi,34092.72,443205.36
Kota Pangkal Pinang,2023,Buah,BUAH-BUAHAN,11995.9,True,Lainnya,Sangat Tinggi,47983.6,623786.7999999999
Karimun,2023,Buah,BUAH-BUAHAN,6714.72,True,Lainnya,Sangat Tinggi,26858.88,349165.44
Bintan,2023,Buah,BUAH-BUAHAN,5144.92,True,Lainnya,Sangat Tinggi,20579.68,267535.84
Natuna,2023,Buah,BUAH-BUAHAN,6106.24,True,Lainnya,Sangat Tinggi,24424.96,317524.48
Lingga,2023,Buah,BUAH-BUAHAN,6383.42,True,Lainnya,Sangat Tinggi,25533.68,331937.84
Kepulauan Anambas,2023,Buah,BUAH-BUAHAN,5215.61,True,Lainnya,Sangat Tinggi,20862.44,271211.72
Kota Batam,2023,Buah,BUAH-BUAHAN,10624.15,True,Lainnya,Sangat Tinggi,42496.6,552455.7999999999
Kota Tanjung Pinang,2023,Buah,BUAH-BUAHAN,9335.34,True,Lainnya,Sangat Tinggi,37341.36,485437.68
Kep. Seribu,2023,Buah,BUAH-BUAHAN,9269.68,True,Lainnya,Sangat Tinggi,37078.72,482023.36
Kota Jakarta Selatan,2023,Buah,BUAH-BUAHAN,12097.78,True,Lainnya,Sangat Tinggi,48391.12,629084.56
Kota Jakarta Timur,2023,Buah,BUAH-BUAHAN,12314.59,True,Lainnya,Sangat Tinggi,49258.36,640358.68
Kota Jakarta Pusat,2023,Buah,BUAH-BUAHAN,9714.08,True,Lainnya,Sangat Tinggi,38856.32,505132.16
Kota Jakarta Barat,2023,Buah,BUAH-BUAHAN,12409.24,True,Lainnya,Sangat Tinggi,49636.96,645280.48
Kota Jakarta Utara,2023,Buah,BUAH-BUAHAN,12473.88,True,Lainnya,Sangat Tinggi,49895.52,648641.76
Bogor,2023,Buah,BUAH-BUAHAN,6417.83,True,Lainnya,Sangat Tinggi,25671.32,333727.16
Sukabumi,2023,Buah,BUAH-BUAHAN,8257.29,True,Lainnya,Sangat Tinggi,33029.16,429379.0800000001
Cianjur,2023,Buah,BUAH-BUAHAN,5697.97,True,Lainnya,Sangat Tinggi,22791.88,296294.44
Bandung,2023,Buah,BUAH-BUAHAN,6120.05,True,Lainnya,Sangat Tinggi,24480.2,318242.60000000003
Garut,2023,Buah,BUAH-BUAHAN,5279.32,True,Lainnya,Sangat Tinggi,21117.28,274524.64
Tasikmalaya,2023,Buah,BUAH-BUAHAN,4985.72,True,Lainnya,Sangat Tinggi,19942.88,259257.44
Ciamis,2023,Buah,BUAH-BUAHAN,7067.85,True,Lainnya,Sangat Tinggi,28271.4,367528.2
Kuningan,2023,Buah,BUAH-BUAHAN,6644.12,True,Lainnya,Sangat Tinggi,26576.48,345494.24
Cirebon,2023,Buah,BUAH-BUAHAN,6202.79,True,Lainnya,Sangat Tinggi,24811.16,322545.08
Majalengka,2023,Buah,BUAH-BUAHAN,6352.91,True,Lainnya,Sangat Tinggi,25411.64,330351.32
Sumedang,2023,Buah,BUAH-BUAHAN,7714.44,True,Lainnya,Sangat Tinggi,30857.76,401150.88
Indramayu,2023,Buah,BUAH-BUAHAN,9202.6,True,Lainnya,Sangat Tinggi,36810.4,478535.2
Subang,2023,Buah,BUAH-BUAHAN,7691.83,True,Lainnya,Sangat Tinggi,30767.32,399975.16
Purwakarta,2023,Buah,BUAH-BUAHAN,8211.29,True,Lainnya,Sangat Tinggi,32845.16,426987.0800000001
Karawang,2023,Buah,BUAH-BUAHAN,6808.62,True,Lainnya,Sangat Tinggi,27234.48,354048.24
Bekasi,2023,Buah,BUAH-BUAHAN,8760.28,True,Lainnya,Sangat Tinggi,35041.12,455534.56000000006
Bandung Barat,2023,Buah,BUAH-BUAHAN,6946.32,True,Lainnya,Sangat Tinggi,27785.28,361208.64
Pangandaran,2023,Buah,BUAH-BUAHAN,7696.84,True,Lainnya,Sangat Tinggi,30787.36,400235.68
Kota Bogor,2023,Buah,BUAH-BUAHAN,9762.54,True,Lainnya,Sangat Tinggi,39050.16,507652.0800000001
Kota Sukabumi,2023,Buah,BUAH-BUAHAN,10470.56,True,Lainnya,Sangat Tinggi,41882.24,544469.12
Kota Bandung,2023,Buah,BUAH-BUAHAN,11987.01,True,Lainnya,Sangat Tinggi,47948.04,623324.52
Kota Cirebon,2023,Buah,BUAH-BUAHAN,8046.63,True,Lainnya,Sangat Tinggi,32186.52,418424.76
Kota Bekasi,2023,Buah,BUAH-BUAHAN,13211.34,True,Lainnya,Sangat Tinggi,52845.36,686989.68
Kota Depok,2023,Buah,BUAH-BUAHAN,12580.95,True,Lainnya,Sangat Tinggi,50323.8,654209.4
Kota Cimahi,2023,Buah,BUAH-BUAHAN,9952.16,True,Lainnya,Sangat Tinggi,39808.64,517512.32
Kota Tasikmalaya,2023,Buah,BUAH-BUAHAN,9073.81,True,Lainnya,Sangat Tinggi,36295.24,471838.12
Kota Banjar,2023,Buah,BUAH-BUAHAN,10165.45,True,Lainnya,Sangat Tinggi,40661.8,528603.4
Cilacap,2023,Buah,BUAH-BUAHAN,5842.99,True,Lainnya,Sangat Tinggi,23371.96,303835.48
Banyumas,2023,Buah,BUAH-BUAHAN,8446.59,True,Lainnya,Sangat Tinggi,33786.36,439222.68
Purbalingga,2023,Buah,BUAH-BUAHAN,5584.07,True,Lainnya,Sangat Tinggi,22336.28,290371.64
Banjarnegara,2023,Buah,BUAH-BUAHAN,6686.72,True,Lainnya,Sangat Tinggi,26746.88,347709.44
Kebumen,2023,Buah,BUAH-BUAHAN,5994.68,True,Lainnya,Sangat Tinggi,23978.72,311723.36
Purworejo,2023,Buah,BUAH-BUAHAN,6405.61,True,Lainnya,Sangat Tinggi,25622.44,333091.72
Wonosobo,2023,Buah,BUAH-BUAHAN,7468.52,True,Lainnya,Sangat Tinggi,29874.08,388363.04000000004
Magelang,2023,Buah,BUAH-BUAHAN,6759.74,True,Lainnya,Sangat Tinggi,27038.96,351506.48
Boyolali,2023,Buah,BUAH-BUAHAN,6377.69,True,Lainnya,Sangat Tinggi,25510.76,331639.88
Klaten,2023,Buah,BUAH-BUAHAN,6263.14,True,Lainnya,Sangat Tinggi,25052.56,325683.28
Sukoharjo,2023,Buah,BUAH-BUAHAN,7174.58,True,Lainnya,Sangat Tinggi,28698.32,373078.16
Wonogiri,2023,Buah,BUAH-BUAHAN,6344.2,True,Lainnya,Sangat Tinggi,25376.8,329898.39999999997
Karanganyar,2023,Buah,BUAH-BUAHAN,6209.47,True,Lainnya,Sangat Tinggi,24837.88,322892.44
Sragen,2023,Buah,BUAH-BUAHAN,7488.53,True,Lainnya,Sangat Tinggi,29954.12,389403.56
Grobogan,2023,Buah,BUAH-BUAHAN,6082.7,True,Lainnya,Sangat Tinggi,24330.8,316300.39999999997
Blora,2023,Buah,BUAH-BUAHAN,5755.71,True,Lainnya,Sangat Tinggi,23022.84,299296.92
Rembang,2023,Buah,BUAH-BUAHAN,7199.52,True,Lainnya,Sangat Tinggi,28798.08,374375.04000000004
Pati,2023,Buah,BUAH-BUAHAN,9817.16,True,Lainnya,Sangat Tinggi,39268.64,510492.32
Kudus,2023,Buah,BUAH-BUAHAN,6509.44,True,Lainnya,Sangat Tinggi,26037.76,338490.88
Jepara,2023,Buah,BUAH-BUAHAN,5899.89,True,Lainnya,Sangat Tinggi,23599.56,306794.28
Demak,2023,Buah,BUAH-BUAHAN,7813.25,True,Lainnya,Sangat Tinggi,31253.0,406289.0
Semarang,2023,Buah,BUAH-BUAHAN,11061.23,True,Lainnya,Sangat Tinggi,44244.92,575183.96
Temanggung,2023,Buah,BUAH-BUAHAN,6490.71,True,Lainnya,Sangat Tinggi,25962.84,337516.92
Kendal,2023,Buah,BUAH-BUAHAN,7733.54,True,Lainnya,Sangat Tinggi,30934.16,402144.08
Batang,2023,Buah,BUAH-BUAHAN,6283.79,True,Lainnya,Sangat Tinggi,25135.16,326757.08
Pekalongan,2023,Buah,BUAH-BUAHAN,6999.29,True,Lainnya,Sangat Tinggi,27997.16,363963.08
Pemalang,2023,Buah,BUAH-BUAHAN,6646.58,True,Lainnya,Sangat Tinggi,26586.32,345622.16
Tegal,2023,Buah,BUAH-BUAHAN,5626.79,True,Lainnya,Sangat Tinggi,22507.16,292593.08
Brebes,2023,Buah,BUAH-BUAHAN,5719.25,True,Lainnya,Sangat Tinggi,22877.0,297401.0
Kota Magelang,2023,Buah,BUAH-BUAHAN,8906.68,True,Lainnya,Sangat Tinggi,35626.72,463147.36
Kota Surakarta,2023,Buah,BUAH-BUAHAN,8393.16,True,Lainnya,Sangat Tinggi,33572.64,436444.32
Kota Salatiga,2023,Buah,BUAH-BUAHAN,14479.62,True,Lainnya,Sangat Tinggi,57918.48,752940.24
Kota Semarang,2023,Buah,BUAH-BUAHAN,8956.83,True,Lainnya,Sangat Tinggi,35827.32,465755.16
Kota Pekalongan,2023,Buah,BUAH-BUAHAN,5345.05,True,Lainnya,Sangat Tinggi,21380.2,277942.60000000003
Kota Tegal,2023,Buah,BUAH-BUAHAN,8629.57,True,Lainnya,Sangat Tinggi,34518.28,448737.64
Kulon Progo,2023,Buah,BUAH-BUAHAN,6660.1,True,Lainnya,Sangat Tinggi,26640.4,346325.2
Bantul,2023,Buah,BUAH-BUAHAN,10867.69,True,Lainnya,Sangat Tinggi,43470.76,565119.88
Gunung Kidul,2023,Buah,BUAH-BUAHAN,5862.58,True,Lainnya,Sangat Tinggi,23450.32,304854.16
Sleman,2023,Buah,BUAH-BUAHAN,11333.93,True,Lainnya,Sangat Tinggi,45335.72,589364.36
Kota Yogyakarta,2023,Buah,BUAH-BUAHAN,8617.19,True,Lainnya,Sangat Tinggi,34468.76,448093.88
Pacitan,2023,Buah,BUAH-BUAHAN,5500.1,True,Lainnya,Sangat Tinggi,22000.4,286005.2
Ponorogo,2023,Buah,BUAH-BUAHAN,7004.94,True,Lainnya,Sangat Tinggi,28019.76,364256.88
